,X,Y,block,class,description,plate,site,stratum,year
80,15,65,, XVII. Toy animals without carts or wheels (nos. 72—107),"80. Bm. ’aawsoag sq. 15*65’; stratum III. Miniature toy elephant of grey clay. Very crude workmanship. Length :62 in. 81,. 3k. ’13....33; 33163}: F; sq. 89*53'; stratum III. Miniature. toy elephant of grey slay. Right fronting and lift: hind-leg missing. Height 312 in. , Crude workmanship. Cf. 3,}. tot} sagas. ' ” 7 - ' ~ Like the largest elephants, only the largest horses have hollow bodies and legs, and these are very rare. The clay, is usually red and well burnt, sometimes with a grey core, sometimes red throughout. The saddle—horse no. 83 is of bull- coloured clay with traces of a thin red paint. The horses on wheels come from the Bhir Mound only. Besides these there are horses with harness, some with saddles, some without; and one very small specimen with a rider. ' Of the saddled horses illustrated in P1. 13 5, one specimen (no. 83) comes from the Bhir Mound and one from the Sirkap (no. 87). In the former, the saddle, which rose high in front and rear, was kept in positiOn by a girth—band passed over the top, with a breast-band in front and a crupper behind. The latter is a crudely fashioned little toy, and all that can be made out of it is that the saddle was four- peaked, with two peaks in front and two behind, and that it was held with a crupper behind. Cf. also no. 86, a rather better specimenof the four—peaked saddle. As a rule, the toy horses from the Bhir Mound are, like the elephants, more ornamental but less truthfully modelled than those from Sirkap; but whereas the 58-2 Horses 456 TERRAuCOTTA AND CLAY OBJECTS [011. 24 elephantvwas the more favourite toy in the Maurya period at T axila, the horse was more fashionable under the Greeks, Sakas and Parthians. In the Bhir Mound examples, the head—stalls are composed, like the Indian head~stalls of this period in Hindustan and Central India, of vertical cheek—straps and face—strap with horizontal front- and nose—bands, and sometimes an extra strap between the front- and nose-bands. Thus, in these early examples, the straps making up the head-stall were either vertical or horizontal. In the later examples from Sirkap, on the other hand (e.g. nos. 88 and 89), there are usually cross-straps running obliquely from the middle of the face-strap to the ends of the bit. At the junction of the straps in both earlier and later types there is commonly a boss, medallion or rosette. For head—stalls at Saﬁchi, see Maisey, Sdﬁchi and its Remains, Pl. XV, figs. 14 and 15. In the true Indian harness, plumes were almost invariable, both for riding and driving horses. Even in the toys, plumes are very commonly shown, not only in the, earlier specimens from the Bhir Mound but in the later ones from the Greek, Salsa and Parthian settlements in Sirkap. ' Observe that in no. 82-~a large hollow toy—there is a ﬂy—whisk of loOse. leather straps hanging from the middle of the front band. In this specimen the eye is formed of a small applied circlet with a hole in the middle. In no. 84 the, eye is formed of a round pellet crossed bya straight incision. In the later examples from Sirkap the eyes are twice or thrice as large, and are generally worked up or incised ' in the body of the clay; in some cases, however, they are applied. Let it be added that the Sirkap heads usually have a transverse hole through the mouth for a string.",,Bm,3,1913
82,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"82. Bm. ’13—204; stratum II. Head and neck of a terra—cotta toy horse. Length 4-25 in. The head—stall consists of cheek-straps and front- and nose-bands, with aﬂy—whisk of leather (3‘) hanging from the middle of the front band. The plume on the top of the head is broken. The eyes are made of small applied circlets with a hole in the centre of each. The body of the animal was hollow. Clay burnt red on surface with grey core. (Pl. 134, no. 82.)",134-82,Bm,2,1913
83,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"83. Bm. ’13—202; stratum II. Toy horse of red terra-cotta. Length 4-25 in. Head, legs and tail missing. The saddle, which is deeply depressed in the seat, is kept in position by a girth—band which passes over it, as well as by a breast-band in front and a crupper behind. Both breast—band and crupper are ornamented. (Pl. 135, a.)",135-a,Bm,2,1913
84,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"84. Bm. ’15—369; stratum 11. Toy horse of red terra-cotta. Height 5 in. The head-stall consists of face-strap and front- and nose-bands, with a medallion at juncture. Reins indicated by incised lines. Plume on top of head broken. Hole across the mouth for string. Eyes made of round pellets with straight incisions across. Hind-legs missing. (P1. 135, b.)",135-b,Bm,2,1915
85,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"85. Bm. ’13—200; stratum II. Toy horse of red terra-cotta. Length 4-5 in. Hind-legs and tail broken. Breast-band with pendants attached. Plume on top of head. Eyes made of two concentric circles in relief. See A.S.R. (1912), P1. XXXIX, e, 5 and for breast-band with pendants, cf. Bm. ’2o—I,619.",,Bm,2,1913
86,75,60,E, XVII. Toy animals without carts or wheels (nos. 72—107),"86. Sk. ’13—I,298; Block E; sq. 75-60’; stratum II. Toy saddle-horse of terra—cotta, with grey core. Height 2 in. Head missing. The saddle is peaked in front. Cf. p. 162, n. 1 supra.",,Sk,2,1913
87,9,100,1, XVII. Toy animals without carts or wheels (nos. 72—107),"87. Sk. ’19~18; Block 1’; sq. 9-100’; stratum 1. Similar to preceding but of buff-coloured terra-cotta and cruder workmanship. Saddle with two peaks in front and two behind, and crupper. Length 2 in. Cf. p. 196 supra. (Pl. 13 5, c.)",13 5-c,Sk,1,1919
88,50,91,C, XVII. Toy animals without carts or wheels (nos. 72—107),"88. Sk. ’29—2,737; Block C’; sq. 50-91’; stratum IV. Head of toy horse of terra—cotta. CH. 24] TERRA-GOTTA AND CLAY OBJECTS 457 Length 262 in. Head—stall with oblique straps from middle of face-piece to ends of bit. Plume on top of head. Hole across mouth for string. (Pl. 135, e.)",135-e,Sk,4,1929
89,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"89. J1. ’13—3; C mound; 6ft. below surface. Similar to preceding. Length 3-25 in. Cf. p. 224 supra. (P1. 135, i.) Toy humped bulls are not as common as might be expected on any of the Taxila sites, and none of them, even from the Bhir Mound, are adorned with stamped patterns. The following three types are, however, readily distinguishable, viz.‘ Type a. Of medium size with solid bodies and legs.",135-i,,,1913
90,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"90. Dh. ’17—48; mon. court A; 3 ft. 6 in. below surface. Toy bull of red terra-cotta, with dark red wash. Height 5 in. A bell is tied round the neck. Horns slightly damaged. The modelling is better than usual in this class of toy. Cf. p. 278 supra. (Pl. I 3 5, d.) Type 1). Of larger size, with hollow pipe-like bodies, long hollow legs and circular hind-quarters. The clay is sometimes red, but more often brown or grey. These toy bulls seem to have been manufactured more or less in this form in both early and late times. In the earlier specimens the eye takes the form of a circlet with a punctured dot in the centre. In the later it consists of a round pellet in the centre, with a circlet around.",I 3 5-d,Dh,,1917
91,,,, XVII. Toy animals without carts or wheels (nos. 72—107),91. Bm. ’15—3 17; stratum II. Toy bull of blackish buif tetra—Gotta. Height 7-5 in. Hollow body and legs. Half of the body and hind—legs and left horn are missing.,,Bm,2,1915
92,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"92. Bin. ’15—3 18; stratum II. Similar, of muddy grey terra-cotta. Height 7 in. There is a big hole at the back of the body. Tail in relief on left hind-leg. Head and three legs missmg.",,,2,1915
93,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"93. Dh. ’16—527; mon. court A; 2 ft. below surface. Toy bull of red terra-cotta, with hollow body and long stilted hollow legs. Height 8- 5 in. Rope round neck; hump behind head. Hind part and three legs missing. Cf. p. 278 supra.",,Dh,,1916
94,,,, XVII. Toy animals without carts or wheels (nos. 72—107),94. Sk. ’12; Trench A 324; stratum II. Head of a toy bull with cable twisted round neck. Length 22 5 in. Horns damaged; crude workmanship. Eyes in form of circlets with raised dot in centre. Of buff terra-cotta. Type c. Of miniature size and rough-and-ready workmanship.,,Sk,2,1912
95,33,94,B, XVII. Toy animals without carts or wheels (nos. 72—107),"95. Sk. ’28—786; Block B’; sq. 33-94’; stratum III. Humped bull of terra-cotta. Length 237 in. Crude, rough workmanship. The ears stand out at right angles to the head. Cf. p. 194. supra. (Pl. 135, f.) There is only one specimen of a toy camel; it comes from the Bhir Mound.",135-f,Sk,3,1928
96,42,120,, XVII. Toy animals without carts or wheels (nos. 72—107),"96. Bin. ’30—1 I 1 ; sq. 42'120’ ; stratum II. Two-humped camel of red terra—cotta, ornamented about its neck with a necklace from which a bell or pendant is hanging in front. Height 5-25 in. Transverse hole pierced through the mouth for a string. Eyes diamond—shaped and stamped, like the eyes of many of the toy elephants. Hair on back of head. Two miniature humps—one turned one side and one another. (Pl. I 35, g.) ‘",I 35-g,,2,1930
97,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"97. HI. ’12—141; 3 ft. 6 in. below surface. Terra-cotta dog(?) with head turned to right. Length 3-7 5 in. Hair indicated by incised lines. Legs broken. Eyes deep set, like a monkey’s. (Pl- 135, h.) , ‘ Of the four specimens of toy rams selected, one solid one comes from the Bhir Mound, one solid and one hollow one from Sirkap, and one solid one from the Dharmarajika Stﬁpa. All four are in poor condition.   Humped bulls Camel Doge) Rams Figures and other objects of terra-cotta Terra—cottas from Bhir Mound Te‘rra—cottas from Sirkap  ",,Dh,,1912
44,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"44.0 TERRA—GOTTA AND CLAY OBJECTS [CPL 24 likely to occur, and so far from expecting to ﬁnd other examples of such ﬁgures, one can only marvel at the extraordinary luck of ﬁnding any at all. With the exception of these Buddhist groups, which are partly of sunudriecl clay and partly of terracotta, all the objects described below are of terra—cotta. Most of them come from the Bhir Mound and Sirkap cities, but it is a curious fact that none were found in the lowest (fourth) stratum of the Blur/Mound, and of the very few from the third stratum some are undoubtedly strays from the second, and the rest cannot be dated much earlier than the close of the fourth century B.C. This can hardly be other than a coincidence, since terra~cotta ﬁgurines and toys are frequent even in the prehistoric sites of the Indus, and they must have been fabricated at all periods when household pottery was in use. As will be seen from the stratigraphical chart below, the collection from the Bhir Mound comprises ﬁgurines of a primitive idol type as well as a few of a mundane character, votive reliefs representing various male and female deities, potuheilied dwarfs (kumbhdzzda) animal and other toys, playing—dice, personal ornaments, including heads, a few specimens of ritual tanks, and an dycigapaga plaque of substantially later date than the rest. Among all these pieces the only one of Hellenistic design is the medallion or bulla no. 137, with the relief of a lion killing a bull. No. 135 may be an Indian transcript of a Greek original, such as no. 136. Nosao and 27 may also show some Western inﬂuence, and nos. :8 and r9 Egyptian inﬂuence. But, with these few exceptions, all the terra~cottas from the Bhir Mound are characteristically Indian and clearly indicate the direction from which the arts and crafts of Taxila drew their inspira- tion under the rule of the Mauryas. The primitive—looking little idols nos. 1—5 probably represent a type of Nude Mother or Earth goddess which had been handed down from immemorial anti- quity. Four of these idols come from the Bhir Mound—no. I from stratum III, nos. 3, 4 and 5 from stratum II. No. 2 comes from the lowest (pre-Greek) settlement on Sirkap, which may be as old or older than anything on the Bhir Mound. But we must beware of attributing a high antiquity to all these small' idols. Some of them—particularly nos. I, 2 and 3—may be, and probably are, relics of a remote past, which, like the neolithic celts described in chapter 25, nos. 1—5, were still regarded as objects of veneration or curiosity in the fourth and third centuries B.C. On the other hand, we know that idols of the same type and much the same primitive appearance were still being fashioned in the ﬁrst century A.D. for use in ritual tanks (e.g. nos. 158 and 159 infrazPl. 136, w, x), and it may be, therefore, that none of these specimens was older than the stratum in which it was found. When we turn from the Bhir Mound to the Sirkap terra~cottas, we note some conspicuous differences between them. After the Bactrian Greek conquest (which marks the dividing line between the two sites) the inﬂuence of Maurya India fades out and is replaced by Hellenistic inﬂuence from the West. The characteristic eX-voto reliefs of the Maurya period now cease to be manufactured. A few rare specimens (nos. 15, 25, 36) occur here and there in Sirkap, in levels as late as the Wild goat Birds Monkeys Rattles 458 TERRA~COTTA AND CLAY OBJECTS [011. 24",,Bl,,
98,39,123,, XVII. Toy animals without carts or wheels (nos. 72—107),"98. Bm. ’30—91; sq. 39'123'; stratum I. Toy ram of red terra-cotta, with curved horns. Length 4 in. Left fore—leg damaged. Cf. p. 111 supra. (P1. 13 5, j.)",13 5-j,Bm,1,1930
99,55,64,D, XVII. Toy animals without carts or wheels (nos. 72—107),99. Sk. ’13~54o; Block D; sq. 55-64’; stratum III. Similar. Horns and legs missing. Height 2225 in. Cf. p. 155 supra.,,Sk,3,1913
100,,,, XVII. Toy animals without carts or wheels (nos. 72—107),"100. Sk. ’14.; Trench A523; stratum II. Head of a toy ram, damaged. Pinkish red clay. Length 2-5 in. ‘ ,",,Sk,2,1914
101,,,, XVII. Toy animals without carts or wheels (nos. 72—107),101. Dh. ’12m429; stﬁpa area. Toy ram of red terra-cotta; mouth damaged. Length 4-12 in. (Pl. 135: k.),135: k,Dh,,1912
102,12,27,G, XVII. Toy animals without carts or wheels (nos. 72—107),"102. Bm. ’19—«869; sq. 12-27’; stratum II. Wild he—goat with long horn over back (the other horn is missing). Legs and mouth damaged. Length 3° 5 in. (Pl. 1 3 5, 1.) 103-4. Sk. ’28—2,245; Block G'; sq. 107-80’; stratum V. Two toy birds of grey black clay, with outspread wings ending in pointed tail. Very crude work of second century B.C. Cf. pp. 127, 181: supra. All the toy monkeys come from Sirkap. They are very like the prehistoric ﬁgures of men, but provided with a tail, against which they can rest when set in an upright position. The nose and face are pinched in the same way as the prehistoric human ﬁgurines.",1 3 5-1,Bm,2,1919
105,12,87,1, XVII. Toy animals without carts or wheels (nos. 72—107),"105. Sk. ’28—~189;Block 1’; sq. 12~87';stratum IV. Crudely made monkey of red tetra-cotta. Arms and tail missing. Height 3-37 in. (P1. 135, m.)",135-m,Sk,4,1928
106,15,61,, XVII. Toy animals without carts or wheels (nos. 72—107),"106. Sk. ’16a1,024; Second Street (east); sq. 15'61'; stratum II. Crude ﬁgure of a monkey of light red clay with arms outstretched. Heightgavys in. Head missing, legs broken. (P1. 13 5, n.)",13 5-n,Sk,2,1916
107,75,97,E, XVII. Toy animals without carts or wheels (nos. 72—107),"107. Sk. ’28—863; Block E’; sq. 75'97'; stratum II. Crude ﬁgure of monkey with tail acting as a support. Head and right shoulder missing. Height 3-12 in. Cf. p. 184. supra. The commonest kind of rattle found at Taxila is in the form of a bird, and all the early rattles from the Bhir Mound site are of this type. Other rattles (from Sirkap and later sites) take a quasi-human or animal form, or are made to simulate the pomegranate fruit or vases. . 108. Bm. ’21—I,605; sq. 41-123’; stratum II. Toy rattle in the form of a dove, of red terra- cotta. Length 35 in. (Pl. 135, o.)",135-o,Sk,2,1928
109,43,100,, XVIII. Rattles (nos. 108—18),"109. Bm. ’21—998; sq. 43-100’; stratum II. Similar, in the form of a cock with upstanding comb. Height 462 in. Each leg modelled separately. Tail missing. (Pl. 135, p.) I Observe that in both of these Bhir Mound examples the legs are separate one from the other, not as in the Sirkap and Dharmarajika examples below, where they are combined to form a solid round base.",135-p,Bm,2,1921
110,40,86,C, XVIII. Rattles (nos. 108—18),"110. Sk. ’29—942; Block C’; sq. 40-86’; stratum IV. Toy rattle in the form of a hen, of buff-coloured clay, with disproportionately fat body. Legs replaced by standard base. Height 2-87 in. (P1. 135, q.)",135-q,Sk,4,1929
111,106,80,G, XVIII. Rattles (nos. 108—18),"111. Dh. ’15—1,100; mon. court A; 2 ft. below surface. Toy rattle in form of duck with wings half spread. Length 3-75 in. Incised lines on body, wings and tail to indicate feathers. Red clay. Head missing. Round base in place of legs. Cf. A.S.R. (1915), p. 10, no. 16, and p. 278 supra. 111, a. Dh. ’15—I,274; mon. court A; 10 ft. below surface. Similar, but without standard base or feather markings. Length 4 in. 5 § g 2: E ? i g , ,3     CH. 24] TERRA—GOTTA AND CLAY OBJECTS 459 I 12. Sk. ’15—466; Block G’; sq. 106-80’; stratum II. Toy rattle of red terra-cotta in anthro- poid form, with spherical body, two arms and three legs. Head missing. Length 237 in. Cf. p. 181 supra. I 13. Sk. ’28—2, 527; Block K; sq. 155-44'; stratum II. Terra-cotta rattle in the form of a ram. Legs missing. Very rough workmanship. Height 275 in. Cf. p. 176 supra.",,Dh,2,1915
114,,,, XVIII. Rattles (nos. 108—18),114. Dh. ’16—23 5; mon. court A; 2 ft. below surface. Terra—cotta rattle in the form of a tortoise. Head missing. Height 3-12 in. Cf. p. 278 supra.,,Dh,,1916
115,11,97,1, XVIII. Rattles (nos. 108—18),"115. Sk. ’29—2,612; Block 1’; sq. 11-97’; stratum V. Pomegranate-shaped rattle of reddish buff clay, with a hole through neck for string. Length 262 in. Slightly damaged. (P1. 13 5, r.)",13 5-r,Sk,5,1929
116,19,86,, XVIII. Rattles (nos. 108—18),"116. Sk. ’29—3,186; sq. 19-86’; stratum IV. Similar, of grey black clay. Length 275 in.",,Sk,4,1929
117,,,, XVIII. Rattles (nos. 108—18),"117. J1. ’13—41 ; Mound C; 3 ft. below surface. Toy rattle of red terra-cotta in the shape of a squat vase, with the neck ending in an animal’s head. Cable pattern round shoulder and base of neck. Height 2-25 in. Cf. p. 224 supra. (P1. 135, s.)",135-s,,,1913
118,,,, XVIII. Rattles (nos. 108—18),"118. J1. ’13—44; Mound C; 3 ft. below surface. Similar to preceding, but with short wide neck. Height 22 5 in. Traces of mica-wash. Cf. p. 224. supra. Whistles were made in the form of sling bullets or barrel—shaped beads or miniature vases with the mouth sealed. In the ﬁrst type there is a hole at each end and a third hole in the middle of the body; in the two latter types, there are three holes on one side of the body, one large and two small. No specimens of whistles have been found in the Bhir Mound site. It looks, therefore, as if they were a foreign import.",,,,1913
119,35,85,1, XIX. Whistles (nos. 119—21),"119. Sk. ’angﬁao; Block 13’; sq. 3 5-8 5'; stratum VI. Hand-made whistle of reddish buff clay, in the shape of a sling bullet, with a hole at either end and a third hole in the middle of the body. Length 23 in. Cf. p. 127 supra. (Pl. 135, t.)",135-t,Sk,6,
120,44,93,(, XIX. Whistles (nos. 119—21),"120. Sk. ’29»:,964; Block (3’; sq. 44:93’; stratum IV. Hand-made whistle of reddish buff clay; barrelwshaped, With collared ends. One hole at either end and one in the centre. Length 1-5 in. (P1. 135, u.)' L",135-u,Sk,4,1929
121,,,, XIX. Whistles (nos. 119—21),"121. Dh. ’17—66; mon. court A; 9 ft. below surface. Whistle of black clay in the shape of a narrow-necked vase with three holes on the same side of the body, one large and two small. Height 2-62 in. Cf. p. 278 supra. (P1. 13 5, 1).) Playing-dice of terra—cotta are relatively rare, the materials commonly used for their manufacture being bone or ivory (cf. ch. 32, pp. 662—3). The only advantage of terra-cotta was its cheapness. Of whatever material they are made, the dice are always oblong in shape like the modern Indian dice, never cubical; and they are marked on the four long sides with the numbers I, 2, 3 and 4. From the Bhir Mound only one die of terraécotta has been recovered, viz.:",13 5-1,Dh,,1917
122,,,, XX. Playing-dice (nos. 122—5),"122. Bm. ’13—1 59; stratum II. Oblong playing-die of terra-cotta, with the numbers 1, 2, 3 and 4 on consecutive sides, 1 being opposite to 3, and 2 to 4. Of coarsered clay mixed with lime and sand. Length 25 in. (Pl. 135, y, 3.)",135-y-3,Bm,2,1913
123,121,49,H, XX. Playing-dice (nos. 122—5),"123. Sk. ’26—1,999; Block H; sq. 121-49’; stratum II. Similar, with small circlets to indicate numbers, and cross—lines between them. Length 2- 5 in. Cf. p. 169 supra. (Pl. 1 3 5, y, I.) Whistles Dice Architectural pieces Ornamental medallions or bullae     46o TERRA-GOTTA AND CLAY OBJECTS [CPL 24",1 3 5-y-I,Sk,2,1926
124,,,G, XX. Playing-dice (nos. 122—5),"124. ,Sk. ’17~514; Block G; sq. loo-58’; stratum II. Similar, but circlets centred with point. Length 2-5 in. Cf. p. 168 supra. (P1. 135, y, 2.)",135-y-2,Sk,2,1917
125,13,92,1, XX. Playing-dice (nos. 122—5),"125. Sk. ’29~3,166; Block 1’; sq. 13'92’; stratum VI. Similar to no. 122, but with 1 opposite to 4 instead of 3. Length 2-5 in. (Pl. 135, y, 4.)",135-y-4,Sk,6,1929
126,72,51,E, XXI. Decorative pieces and personal ornaments (nos. 126—45),"126. Sk. 334,331; Block E; sq. 72-51’; stratum III. Terra-cotta pillar with Corinthian capital and circular moulded base. Height 6-25 in. The shaft is relieved by a moulded band near its middle and the ﬂutings take the form of eight countersunk panels above and below this band. The shaft has a circular hole through its middle, and the top of the abacus is relieved by concentric circles with a ﬁnely moulded contour. Of purple red, ﬁnely levigated, clay. The horizontal mouldings were turned on the lathe after ﬁring. In this and other respects, the workmanship is more than usually reﬁned. The pillar dates from about the beginning of the Christian era. Cf. p. 161, no. 3 supra; A.S.R. (1912), P1. XXIII, c. (P1. 135, Mi.)",135-Mi,Sk,3,
127,162,107,K, XXI. Decorative pieces and personal ornaments (nos. 126—45),"127. Sk. ’15—348; Block K’; sq. 162-107’; stratum II. Capital of a miniature pillar of Persepolitan design, composed of four bulls, Sitting back to back. Length 3 in. The capital is pierced with a vertical hole through its centre. The modelling is rough but vigorous; the clay badly burnt. This capital, which belongs to the Parthian period, furnishes us with an early example of a motif which was to become a favourite one among the ﬁfth-century stuccos at Taxila. Cfgp. 180 supra; A.S.R. (1915), Pl. VIII, 6. (P1. 135, dd.) An interesting type of personal ornament, found chieﬂy in the Bhir Mound, takes the form of a round medallion or bulla of terra—cotta, usually convex on its outer side and decorated with reliefs. Some specimens are provided with one or two small holes for attachment, pierced either from back to front or transversely across the face. Other specimens have no holes at all. In the simpler ﬁkinds the decoration consists of rosettes or circular beaded mouldings; in the more elaborate ones the beaded circles are centred with human masks or ﬁgures in relief or with a geometric design. What purpose these medallions served is uncertain. Possibly they may have been in the nature of amulets, like the ballae which Roman boys wore as a protection against the fascination of the evil eye; or they may have been simple ornaments (possibly some were ear—rings) without any particular talismanic signiﬁcance. Whether they were of Indian or foreign origin is open to question, but it is noteworthy that the human masks are characteristically Greek, while the relief of the lion attacking a bull is certainly not Indian. For imitation jewellery made of terra-cotta, cf. B.M. Cat. of jewellery, Pl. XLII.",135-dd,Sk,2,1915
128,16,54,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"128. Bm. ’24—596; sq. 16-54’; stratum III. Bulla of greyish red terra-cotta, with rosette on face centred by raised boss; transverse hole at the back for string. Diam. 0'7 5 in. (P1. 13 5, w.)",13 5-w,Bm,3,1924
129,34,30,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"129. Bm. ’24—691; sq. 34-30’; stratum II. Similar to preceding, but with a transverse hole on the raised boss in front instead of at the back. Diam. 0-75 in. (Pl. 1 3 5, x.)",1 3 5-x,Bm,2,1924
130,26,29,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"130. Bm. ’2o—I,344; sq. 26-29,’ ; stratum II. Bulla of greyish terra-cotta adorned with rosette in relief; pierced from back to front with two holes. Diam. 1 in. (P1. I 3 5, z.)",I 3 5-z,Bm,2,
131,16,54,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"131. Bm. ’24—506; sq. 16-54’; stratum III. Similar, but larger and with eight-petalled rosette. Diam. 1-37 in. Two holes from back to front. Of buff clay. (P1. 13 5, aa.) 131, a. Bm. ’21—280. The mould from which the preceding was made. (Pl. 135,,bb.) (:11. :24] TERRA-GOTTA AND CLAY OBjECTS 461 More elaborate geometric designs are provided by nos. 132—4. Although not identical, the Ithree designs are clOsely akin, consisting of a series of concentric bands enriched with beaded cable or toothed patterns and centred with a six- petalled ﬂower or other hexagonal device. L","13 5-aa, 135,,bb",Bm,3,1924
132,13,58,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"132. Bm. ’24*585; sq. 13'58’; stratum III. Half of a bulla of grey—buff clay. Diam. 225 in. Concentric beaded circles with cable border and hexagonal device in centre. (Pl. 1 3 5, cc.)",1 3 5-cc,Bm,3,1924
133,16,54,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"133. Bm. ’24—596; sq. 16-54’; stratum III. Similar, but ornamented with beaded border and hexagonal device in centre. Diam. 1-25 in. The outer bands of this ornament are missing. Of pale red clay. (Pl. 135, ee.)",135-ee,Bm,3,1924
134,,,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"134. Bm. ’24—279; sq. 16- -’59 , stratum II. Terra-cotta mould for making bullae, similar to preceding. Diam. 2 12 in. Six-petalled ﬂower surrounded by beaded, toothed and cable bands. (Pl I35,ff.) In the following specimens, the geometric devices in the centre are replaced by human masks or animals, the former of which look as if they might have been copied from Greek coins or gems.",,Bm,2,1924
135,16,54,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"135. Bm. ’24—596; sq. 16'54’; stratum III. Medallion of greyish black tetra—cotta, with human mask in centre surrounded by beaded circles. Diam. 2 in. Near the centre are two holes, from back to front, for a thread. Slightly broken. A.S.R. (1924), P1. VIII, c. (Pl. 13 5, gg, 2.) I36. Dh. ’13—I,713; G6; 3 ft. 6 in. below surface. Medallion of grey tetra-cotta, with a head in high relief. Diam. 1-62 in. The head is shown full face with ﬂowing locks parted in the middle. It may be a head either of Apollo or of Alexander the Great, and may well have been espied frem a contemporary Hellenistic coin type. Cf. p. 258, no. 6 supra. (Pl. 1 3 5, gg, 1.) I’wa ether medallinns from the same mould were found at the Dharmarajika Stﬁpa, viz. III}; 1M3; (as. 136 a) and 13113134363. (P1. 138, h, i) :3”; En: a“ 6‘ ’ 1:36 i"" stratum III Bulls of red terra—cotta. Diam.1 75 in. On assesses aiiis; "" fnf lien killing a bull. Two holes from back to front ' ', sf ‘ such as may have been imitated by the ‘éaiiinnsen the baiustracle of the second stupa,                        ' , um III. cram: of tens-cotta, perhaps an ear- ;sandsnt, Isiah basﬁaﬁ' is , am small holes for suspension The mould of this. Bra 51:26 isasne 138; s, was sign fauna near by it. (Pl.136b,h) 231;; Bm.’ 21%;, 510, sq 3: 4’9; stratum II. Spiraliform ear—ring of light red clay, similar in shape to the carnelian specimen, Bm. 1,132. Size 1 x o- -68 1n. (Pl. 136, i.) , All the necklace beads of tetra—cotta are from the Bhir Mound. There are no specimens from Sirkap or other sites. With the exception of no. 141, all were found in one group, the probable date of which is c. 300 B.C. Cf. ch. 37, pp. 742—3.","13 5-gg-2, 1 3 5-gg-1, 138-h-i, Pl.136b,h, 136-i",Bm,3,1924
140,16,54,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"140. Bm. ’24—598; sq. 16- 54’; stratum III. Grey terra-cotta bead with pointed knobs all reund, rather like a mace-head. (Pl. 136, g.)",136-g,Bm,3,1924
14,30,36,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"14.1. Bm. ’24—628; sq. 30-36’; stratum II. Pyramidal pendant of terra-cotta, square in section with vertical hole for threading. Length 075 in. (P1. 136, c.)",136-c,Bm,2,1924
142,16,54,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"142. Bm. ’24—602; sq. 16-54’; stratum III. Terra-cotta pendant in the shape of a pome- granate; a hole at base of fruit for suspension. Length 0-87 in. (P1. 136, j.)",136-j,Bm,3,1924
143,,,, XXI. Decorative pieces and personal ornaments (nos. 126—45),"143. Bm. ’24.;—601 sq. 16 54’; stratum III. Three pendants of terra- cotta with holes for suspension. Irregular shape, in imitation of coral. Traces of red wash. Length I 12 in. (P1 136, e.) 94’! 59 Ear-pendant and ear—ring Necklace pendants and beads Architectural pieces Ornamental medallions or bullae   460 TERRA—GOTTA AND CLAY OBJECTS [on 24",,Bm,3,1924
124,100,58,G, XXI. Decorative pieces and personal ornaments (nos. 126—45),"124.. Sk. ’17—5 14; Block G ;, sq. 100- 58’; stratum II. Similar, but circlets centred with point. Length 2-5 in. Cf. p. 168 supra. (Pl. 135, y, 2.)",135-y-2,Sk,2,1917
125,13,92,1, XXI. Decorative pieces and personal ornaments (nos. 126—45),"125. Sk. ’29-3,166; Block 1’; sq. 13-92'; stratum VI. Similar to no. 122, but with 1 opposite to 4 instead of 3. Length 2-5 in. (P1. 135, y, 4.)",135-y-4,Sk,6,1929
126,72,51,E, XXI. Decorative pieces and personal ornaments (nos. 126—4 5),"126. Sk. ’13—I,331;,Block E; sq. 72-51’; stratum III. Terra-cotta pillar with Corinthian capital and circular moulded base. Height 6-25 in. The shaft is relieved by a moulded band near its middle and the ﬂutings take the form of eight countersunk panels above and below this band. The shaft has a circular hole through its middle, and the top of the abacus is relieved by concentric circles with a ﬁnely moulded contour. Of purple red, ﬁnely levigated, clay. The horizontal mouldings were turned on the lathe after ﬁring. In this and other respects, the workmanship is more than usually reﬁned. The pillar dates from about the beginning of the Christian era. Cf. p. 161, no. 3 supra; A.S.R. (1912), P1. XXIII, c. (P1. 135, hh.)",135-hh,Sk,3,1913
