,X,Y,block,class,description,plate,site,stratum,year
91,,,,,"91. Kn. ’3I~287. From south—east of A14; 4ft. below surface. Head of ﬁgure with Persian(?) head-dress and lappet covering the ears. Height 425 in. Broken on left side. Observe the large eyes and mouth and the full cheeks and chin, typical of sculptures, at Kalawan. Cf. nos. 86, 87 supra. (Pl. 161, f.)   mummy”. «M»     “(g A. mw‘wmmmwwgv 134mm“. . ..., .ﬂ .M,:..:..V.u..,,,, . ”,9, CH. 26] stucco SCULPTURES 531",161-f,Kn,,
92,,,,,"92. Kn. ’31—442. From west of A 4; 4 ft. below surface. Height 5-3 in. Head of a lay- worshipper with”ear-pendants and ﬁllet over the hair. Below ﬁllet, in front, is a crescent, and above it, a small peak. Tip of nose and right side of hair damaged. (Pl. 161, g.)",161-g,Kn,,1931
93,,,,,"93. Kn. ’31—507. From east of A12; 3 ft. below surface. Height 36 in. Head of ascetic(?) with hair coiled on crown of head, moustache and beard. The eyes are large and prominent and the lips full. Traces of a yellowish slip and of red paint are observable on the beard, moustache and cheek. There is a breadth and freedom in the modelling of this head which distinguishes a number of the Kalawan sculptures, notably nos. 86, 87, 91. (P1. 161, i.)",161-i,Kn,,1931
94,,,,,"94. Kn. ’31—440. From west of A 4; 4—7 ft. below surface. Head of ascetic with long hair drawn back over ears, ushm'sha-like topknot and ﬁllet over brows. Height 5-6 in. Wears pendants, moustache and beard. Tip of nose and front of ﬁllet damaged. If this is a Brahmanical ascetic, it is not clear why he should have a ﬁllet and ear—rings. Observe the same wide-open eyes and full lips as in the previous example. (Pl. 161, h.)",161-h,Kn,,1931
95,,,,,"95. Kn. ’3 1~446. From west of A 4; 4 ft. below surface. Head of grotesque atlant ﬁgure or of one of the warriors from Mara’s army. Height 3-25 in. Observe the protruding teeth and prominent eyeballs and rough matted hair, standing on end. Tuft of hair at each end of the lips. Traces of red paint on hair. Chin damaged. (Pl. 161, j)",161-j,Kn,,
96,,,,,"96. Kn. ’31—300. From west of A4; 2 ft. below surface. Height IO in. Part of body and legs of a warrior, wearing a dhotz' and coat of mail. Probably a warrior from Mara’s army. (Pl. 161, k.) STUCCO FIGURES OF GIRI Nos. 97, 98. (Cf. ch. 15, p. 345.)",161-k,Kn,,1931
97,,,,,"97. Gr. ’27—329. From near the southern outer wall. 6 ft. 2 in. below surface. Head of the Buddha with chrome yellow slip over the face. Height 7-75 in. Traces of black paint on the brows and of red on lips. Left side of head damaged and ushm'sha missing. A very conventional type, of little distinction. (Pl. 161, l.)",161-l,Gr,,1927
98,,,,,"98. Gr. ’27—321. From main stﬁpa, panel 5; 4 ft. 4 in. below surface. Head of a Bodhisattva with ornamental head—dress bunched into a topknot on the crown. Height 9 in. Left ear and tip of nose damaged. (Pl. 161, n) STUCCO FIGURES or BHAMALA _ Nos. 99~102. (Cf. ch. 22, pp. 392, 396.)",161-n,Gr,,1927
99,,,,,"99. B1. ’29—340. Panel from the plinth on the south—east side of the main stﬁpa, 28 x 18 in. It depicts the Buddha’s mahdparinirwdna. Between two Corinthian pilasters the Buddha is lying at full-length on his right side. Behind him are four mourning ﬁgures, of whom the one near his feet seems to be a woman. Below, on the face of the plinth, are four other small ﬁgures, of which the one near the head is a Dhyani Buddha, and the one near the feet a devotee kneeling with folded hands. The two central ﬁgures appear to have swooned with grief at the sight of their dying Master. This is the only stucco panel from this part of India which depicts the Buddha’s death-scene. (Pls. 118, b; 161, m; the latter showing the relief as set up in the museum.)",,Dh,,1929
100,,,,,"100. B1. ’29—56. From debris on the east steps. 3 ft. below surface. Head of a lay- worshipper(?) of exceptionally good workmanship. Height 5' 5 in. But observe the inordinate height of the forehead and the relative smallness of the eyes, nose and mouth. The modelling is free and plastic, the technique being that of terra-cotta rather than stucco. This is very noticeable in the curls of the hair, which are made separately and stuck on, as they commonly are in terra-cotta heads. (Pl. 161, o.) Ascetics and monks Atlant Warrior Buddha Bodhisattva Dying _ Buddha Lay- worshippers (P)   E i g r i l l ‘ Indo—Afghan ’ School of fourth and ﬁfth centuries A.D. Increasing popularity of stucco and its causes   514 STUCCO SCULPTURES [011.26 the Dharmarajika. As already stated, the pylons were added to the plinth in the early part of the second century A.D., and there can be little doubt that the stucco ornamentation was contemporary with them. The ﬁgures are in the same style as the stone Gandhara reliefs which were preserved in chapel L close by, and it is not unlikely that they were executed by one or other of the artists responsible for those sculptures, since it is quite clear that the sculptor who designed and executed them must have come from Gandhara itself. (Cf. pp. 2 53‘4 supra.) Then, two or three generations later, we have the remains of some stucco images enshrined in the plinth niches of stﬁpas KI and N4, likewise at the Dharmarajika site. The best preserved of these is the ﬁgure of the Buddha on the north face of KI (p. 262 supra, and P1. 57, b), but even this is headless, and all that can be said of the draped body is that it is gracefully modelled and quite in keeping with the date assigned to it (late second or early third century A.D.). With these few exceptions, however, there are no surviving specimens of stucco ﬁgures at Taxila between the ﬁrst and fourth centuries A.D., nor have any examples of sculptures in this material been found at other contemporary sites in the North- West. During the Kushan period a vast amount of sculpture was, as we know, turned out in this part of India, but it seems to have been mainly executed in schist or phyllite from the region of Swat or in a white calcareous stone from the neighbour- hood of Jelalabad in Southern Afghanistan, or else in clay, which, save in very rare cases (where ﬁre has intervened to preserve it), has inevitably perished in the course of the ages. Before the discoveries at Taxila had thrown new light on the subject, it used to be thought that the remains of numerous stucco reliefs found at Sahri— Bahlol, Takht-i—Bahi and other sites belonged to the Kushan period and were contemporary with the familiar stone reliefs of the Gandhara School. It is now clear that this was a mistake. All the reliefs in question are in precisely the same style as the fourth- to ﬁfth—century work at Taxila, and there can be no question that they are of the same age.I The same is true also of the numerous stucco ﬁgures unearthed by the French Mission at Hadda and other sites in Afghanistan.2 At this time stucco, as a material for sculpture, was assuming an importance which it had not known before and has not known since. In the new School which began to take shape in the fourth century—a School which we may conveniently designate the ‘Indo-Afghan’——-stucco was coming to be used not only in place of stone but largely in place of clay as well. Over stone it naturally had a signal advantage in that it needed no chisel for its carving, could be easily manipulated I Cf. The Stﬁpas and Monasteries at jauliaﬁ (A.S.I. Mem. no. 7), p. 33, Where M. Foucher accepts the late Dr D. B. Spooner’s interpretation and dating of certain stucco reliefs. The head from Takht-i- Bahi said by the latter to have come from a Temptation Scene was in all likelihood that of a grotesque atlant, and the two mutilated ﬁgures at the side of a Buddha from Sahri—Bahlol may well have repre— sented the donors. At the best their evidence is very questionable. Cf. A.S.R. (1907—8), pp. 136—7 and ibid. (1909—10), p. 48. 7' E.g. L’G‘uvre de la De’le’gation arche’ologique franfaz'se en Afghanistan (Tokyo: Maison franco- japonaise, 1933), se'r. A, tome 1, P15. 1—4, 6—8, 10'25, 31 and 32. Mat-«us A,“               532 STUCCO SCULPTURES [CH. 26",161-o,Dh,,1929
101,,,,,"101. B1. ’29—}; 5. From debris on the east steps. 3 ft. below surface. Height 6-37 in. Head of a lay—worshipper(?) with conical cap or helmet over long hair. The sparse moustache and oblique eyes suggest a Mongolian type. The nose is damaged and left ear missing. There is a hole in the neck intended for a wooden dowel for securing the head to the body. (Pl. 161, p.)",161-p,,,1929
102,56,63,B,,"102. B1. ’29—~193. From north of the east steps; 12 ft. below surface. Head of a lay- worshipper. Height 5-62 in. Wears moustache and ﬁllet band across the forehead. Right ear and part of hair missing. There is a dowel—hole in the neck for securing the head to the body. The eyes are wide-open and prominent; the eyebrows highly arched and well marked, the nose small and bulbous, the cheeks full and the under-lip loose. Possibly it is a portrait head. (Pl. 161, q.) “W wxiwmwmemiw""WM‘Cmstswiuswwsmmmmwwmwr   “mum‘nm‘wsmﬁw Mum:     CH. 26] srucco SCULPTURES 515 by hand, and, if desired, even cast in a mould. On the other hand, though less plastic than clay, it was far more durable, especially in positions exposed to the weather. This convenience in handling and this durability of stucco go far to explain its growing popularity among the Indo—Afghan sculptors, but there were other reasons also for this popularity which must not be lost sight of. One was that since the eclipse of the Gandhara School under the Kushans, the chief centres of art in the North-West had shifted from the spots where stone could be readily procured for sculpture. At Taxila itself, which was certainly one of the most important of these centres, the only kinds of stone available were an excessively hard limestone, which was too refractory to be carved into statues, and a soft porous kaﬁjﬁr, which was too soft and coarse to be cut into subtle and delicate forms. In Southern Afghanistan sculptors seem to have been little better off. The ﬁne hornblende- and mica—schist stones which had been used by the sculptors of Gandhara, were not to be found there, and in default of these they had to fall back on a local variety of white porous limestone, which was by no means so well suited to their purpose. With the rise, however, of the Indo-Afghan School they pro- ceeded to follow the same course as their brethren at Taxila and to make use almost exclusively of stucco, clay and terra-cotta. Another reason for the freer use of stucco at this period was the facility it offered for the reduplication of Buddha or Bodhisattva images, to which increasing im- portance had come to be attached. Under the early Kushans, the decoration of stﬁpas and chapels had consisted largely of scenes from the previous births or from the last life of the Buddha, but these scenes, so familiar in Gandhara art, had fallen out of fashion, and by the ﬁfth century AD. the creation of an image of the Buddha or (if one of the Bodhisattvas had come to be regarded as a work of merit in itself, and the more images of this kind that a man could get fashioned, the more likely was he to attain the geal of his salvation. Hence arose the practice of erecting an everaincreasing number of stﬁpas and of decorating them from head to foot with countless repetitions of these sacred figures. And in the fashioning of them stucco was an invaluable agent, since with its aid it became possible to turn out ﬁgure after ﬁgure (many, it might be, from one and the same mould) with the greatest possible expedition and at the smallest cost. Among the thousands of stucco reliefs recovered amid the ruins of the later Buddhist monuments at T axila, it goes without saying that all are not of the same age. The destruction of most of the monuments to which they belonged took place, as we have seen, in the latter part of the ﬁfth century A.D., and at the time when it happened some had no doubt been standing for several decades, some had survived from Kushan times or even earlier, and others had probably been erected in quite recent years. It is tempting, therefore, to try and arrange these Indo—Afghan sculptures in some sort of chronological sequence, and since we have no precise evidence of their respective dates, to endeavour to do so on the basis of their style alone. It is questionable, however, if such an attempt can ever succeed. Without doubt, there are many striking differences in the style of these reliefs. Reduplication of sacred images Age and varying merit of stucco reliefs of Indo- Afghan School 516 sTUcco SCULPTURES [(3H, 26 Some are as beautiful as any examples of the sculptor’s art found in India; others are crude and spiritless efforts, which have little claim to be called art at all. But the differences between them are due, less to the progress or decay of art, than to the varying skill or idiosyncrasies of their authors. To take but one example, namely, the reliefs on the south side of the Mohra Moradu Stﬁpa, we know that all these reliefs belong to the same period. Of this there can be no reasonable doubt. But if we had not known this, and if the ﬁgures of which they are composed had not been found in situ, we might well have concluded that the coarse and nerve— ; less reliefs in the outer bays belonged to a more decadent phase in the history of the Indo—Afghan School than the magniﬁcent group in the fourth bay. Until, then, 1 1 further and more precise evidence comes to light, it is clear that we must beware 1 of using the style of these sculptures as a criterion of their age, and be content, 1 meanwhile, to treat them all as belonging to one indivisible group} notwithstanding 1 that they vary greatly in style and merit. g1 and their As to the technique of these sculptures, the bodies, legs and arms of the larger ‘ te‘ihmque ﬁgures were usually composed of soft kaﬁjﬁr stone and mud, covered with a thick 1 coat of the same coarse and friable plaster with which the walls were faced. On the ‘ 1 other hand, the heads were made of a ﬁner and more lasting kind of plaster, and l l 3 l i then mortised into the neck, sometimes with a piece of wood to strengthen the joint, sometimes without. Thanks partly to their shape and partly to the stronger material of which they were made, the heads were naturally able to resist the 1 pressure of the fallen debris or the percolation of rain-water better than the bodies; ‘ and this explains why, on many sites on the North-West Frontier, the heads un- earthed have far outnumbered the bodies and led some excavators to infer that heads alone may sometimes have been set up on the walls of the shrines. From the excavations at Taxila it is now clear that this inference was mistaken, and that originally the number of heads was equal to the number of bodies. This observation is true of smaller as well as larger ﬁgures, but the bodies of the former are usually composed of plaster throughout and are proportionably stronger than the bodies of the latter. In the case of the smaller reliefs,2 the entire body was separately modelled and then impaled on a stick and so afﬁxed to the still fresh coating of i plaster on the wall; and even the tolerably large ﬁgures on the plinth of stﬁpa A I 5 at Jauliaﬁ seem to have been treated in this way. In the modelling of the ﬁgure, ‘ a common practice seems to have been to work the plaster freely into shape with . the boasting tool, and then to ﬁnish it off, when dry, with a chisel. This procedure, however, was by no means invariable. Many of the reliefs, especially the smaller g ones, retain a ﬁne slip of lime or shell plaster, which was applied before the ﬁnal . deﬁnition was given to the features, and it is evident from the ﬁne lines impressed ’l with a modelling tool round the nostrils, etc., that the paste below the slip must have been still moist when the latter was applied. The slip itself was white or cream coloured. Red was commonly used to pick out the lips, edges and folds of   I On this subject, see also The Stﬁpas and Monasteries at yauliﬁﬁ, pp. 37—8. l 2 Ibid. P1. XIX, a, b.     i it i} i a CH. 26] STUCCO SCULPTURES 517 eyelids, edges of nostrils and hair, and wrinkles of the neck, forehead and ear—lobes. Black or grey-black was used for the hair, eyebrows, and pupils of the eyes. In some ﬁgures of atlantes, however, red instead of black is found on the hair, beard and moustache; and red was also used on the robes of the Buddha and for indicating the wheels (one of the mahdpurusha laksltazzas) on the soles of his feet. It is to be noted, however, that in some cases the red colouring on face and garments served only as a groundwork for gilding, which time has since destroyed. In attempting, therefore, to visualise these stucco ﬁgures in their pristine beauty, we must remember always to take into account the polychromy and gilding with which they were freely embellished. Let it be added that moulds were used on occasion by the sculptors of TaXila, as they were used also by the sculptors of Central Asia, but with one signal difference; for whereas the latter endeavoured to get the entire front View of the head, including head-dress and ears, out of a simple mould and were compelled in consequence to ﬂatten the faces of their ﬁgures, the artists of TaXila were content to employ the mould merely for the most difﬁcult part of the head, Viz. the mask, leaving the remaining parts—ears, hair, head-dress and neck—to be executed by hand, and thus achieving an altogether more varied and artistic result. The following are the respective sites where the sculptures described below were unearthed. The precise ﬁndspot of each is given in the catalogue itself. Sirkap, Block B: no. II; Block D: nos. I—Io, Mohra Moradu: nos. 30—8. I2—29. Jauliaﬁ: nos. 39—71. Dharmaraj‘ika: nos. 72—8 5. Kalawan: nos. 86—96. Giri: nos. 97, 98. Bhamala: nos. 99—102. GROUP A. STUCCO‘SCULPTURES OF THE PARTHIAN PERIOD (Cf- ch. 5, pp- 154—50 1. One of the bestexamples of sculptures in this style is the bearded head, no. I, from the apsidal temple D in Sirkap=Sk. ’13~2,o43; sq. 56-63’; stratum II. The head, of which the height is 8-12 in., is that of a typical Greek satyr, with pointed ears, broad ﬂat nose, moustache, beard and free-ﬂowing locks. There is nothing mechanical or crude about the workmanship. The features are modelled with feeling, and there is an intensity of expression in the knitted brows and half-parted lips and a boldness in the treatment of the hair and beard that bespeak a thorough mastery over the material, but at the same time a proper understanding of its L” limitations. The strong, almost portrait-like individuality that characterises the countenance is typical of Greek art in its later phases; it is never found in early Indian art; nor is it a characteristic of the Gandhara School. With this and the following head the reader should compare the little head of Dionysus in silver repoussé ﬁgured in P1. 209, a, which is equally characteristic of Hellenistic craftsmanship. A.S.R. (1912), P1. XVII, c. (P1. 14.8, no. I.) 2. Another head in the Hellenistic style, is that ﬁgured in P1. I48, no. 2. (Sk. ’13—2,o65; sq. 5 5-62’; stratum II; height 4- 5 in.). It, too, is bearded, but the heard in this instance is treated in simpler masses, and there is a quiet dignity and repose about the features that ﬁnd MT 66   Use of moulds     i t l i l l 1 l l E E i 518 srucco SCULPTURES [CPL 26 their nearest parallel among cult statues of the Greek pantheon. Unfortunately, the upper part of the head is mutilated, but what remains is quite enough to show that the sculptor had an intimate knowledge of Hellenistic art. Cf. A.S.R. (1912), P1. XVIII, c. These are the sculptures executed by local craftsmen in more or less imitation of Greek or Graeco-Roman models. Some of them resemble the small terra-cotta ﬁgurines of this period found at Akra and other contemporary sites, including Sirkap itself. (‘ Terra—cottas’, ch. 24, nos. 46—9; Pl. 133.) On the top of the head there is commonly a topknot encircled with a bandeau or wreath, which is often much too small for the size of the head.‘ In front, the hair either falls over the forehead in short strands or is rolled back over the ears. Sometimes it is plaited or braided or curled along the front edge, as in archaic Greek statues. The sculptures of this class fall into the following ﬁve subdivisions, the charac— teristics of which appear to be mainly due to the idiosyncrasies of the sculptors. Type a. With nose of normal size, short upper lip and small, rather insigniﬁcant mouth. The eyes are carelessly modelled. 3. Sk. ’13-2,088; sq. 54-62’; stratum II. Height 6 in. Female headwith heavy laurel wreath. Hair parted from centre and rolled back over the ears, with two rosettes over the left ear. Right side of forehead and part of nose damaged; topknot missing. Lime—wash. (Pl. 148, no. 3.) 4. Sk. ’ 13~2,118; sq. 54-61’; stratum 11. Height 5 in. Female head. Hair parted in centre and rolled back over ears; the topknot beingvbound round with a twisted kerchief. Ear— pendant missing on left side. (Pl. 148, no. 4.) 5. Sk. ’13—2,Io7; sq. 54-62'; stratum II. Height 6-37 in. Female head. Hair arranged in corkscrew curls falling like a wig over forehead and ears, and surmounted by a high topknot tied at the base with a bandeau. Small ear-pendants. (Pl. 148, no. 5.) 6. Belonging to the same class as the above but in sharp contrast with them, by reason of the different treatment of the eyes, is the head Sk. ’12; Trench A 481; stratum II (height 4-12 in.). In this case the eyes are wide open and staring, with highly arched eyebrows, while the hair is arranged in ringlets with a topknot above, as it was on heads of the Buddha. For the wide-open, staring eyes, cf. ch. 25, no. 63, and ch. 36, pp. 693—4. (Pl. 148, no. 6.) Type 6. With nose of normal size, full lips, and short upper lip. 7. Sk. ’13—2,021; sq. 63-62’; stratum II. Height 4-2 in. Female head, with rather short hair combed from the crown over the forehead, and with a topknot which was once encircled with a Wreath. Rosette over right ear. Long cylindrical pendants in ears (preserved in left ear only). (Pl. 148, no. 7.) 8. Sk. ’I3—2,008; sq. 63-62’; stratum II. Height 4-5 in. Female(?) head, with highly arched brows and slightly smiling lips. Wears heavy ear—pendants; hair combed on to forehead and plaited or braided at the fringe. Above, smooth plain wreath, which may have been painted. Cf. A.S.R. (1912), P1. XVIII, b. (Pl. 148, no. 8.) 9. Sk. ’I3—2,006; sq. 63-62'; stratum II. Height 4-75 in. Female head. The eyes are carelessly modelled and the shape of the face is irregular, as if intended to be seen from one side only, like many of the later stuccos. The hair falls thickly from the crown over forehead and ears; ‘ It seems not unlikely that the ushnisha of the Buddha image evolved in Gandhara had its origin in these topknots. CH. 26 srucco SCULPTURES I 5 9 crowning it is a segmented wreath, encircling the topknot. Cf. A.S.R. P1. XVIII, e. (Pl. 148, no. 9.) * IO. Sk. ’13~2,025; sq. 63-62’; stratum II. Height 3-75 in. Bearded head, with eyes deep—set, but sketchily drawn, overhanging brows, and long oval face. The modelling under the eyes is cleverly done. Top of head and ears missing. (Pl. 148, no. IO.) Type c. With shortish nose and short upper lip, but wider mouth, heavier jaws and a squarer shape of head. The workmanship is crude, and the modelling of the eyes especially defective.","161-q, 14.8-I, 148-3, 148-4, 148-5, 148-6, 148-7, 148-8, 148-9, 148-IO",Bl,2,1929
11,36,65,, II. Sculptures in bastard Hellenistic style (nos. 3~18),"11. Sk. ’12—165; sq. 36-65’; stratum 1. Height 6-5 in. Hair in crescent over forehead and plaited at edge. T opknot and twisted wreath. Mouth wide and smiling. Ear-ring in right ear. Left ear missing. (Pl. 148, no. 11.)",148-11,Sk,1,1912
12,63,62,, II. Sculptures in bastard Hellenistic style (nos. 3~18),"12. Sk. ’13—2,o34; sq. 63-62'; stratum II. Height 5- 5 in. Female(?) head. Short hair falling over forehead. Heavy wreath with smooth surface (ipainted) round topknot. Ear-rings in both ears. Trace of lime-wash. (Pl. 148, no. 12.)",148-12,Sk,2,1913
13,63,62,, II. Sculptures in bastard Hellenistic style (nos. 3~18),"13. Sk. ’13—2,027; sq. 63-62’; stratum II. Height 6 in. Hair cut across forehead. Topknot, bandeau and left ear missing. Large eyes and mouth; teeth visible; short wide nose. Cf. A.S.R. (1912), PI. XVII, b. (P1. 148, no. 13.) I4. Sk. ’13—2,026; sq. 63-62’; stratum II. Height 5-7 5 in. Hair curled at edge across forehead and over the ears. Part of wreath and topknot missing. Cf. A.S.R. (1912), P1. XVIII, a. (P1. 148, no. 14..) Type d. With bulging forehead, very short nose, and short upper lip.","148-13, 148-14.",Sk,2,1913
15,54,62,, II. Sculptures in bastard Hellenistic style (nos. 3~18),"15. Sk. ’13—2,080; sq. 54-62’; stratum II. Height 6-25 in. The head is shaved except for a single tuft of hair which falls from the crown over the forehead and is tied in a ball at the end. Wears heavy ear-rings. Eyes very sketchily modelled. Cf. A.S.R. (1912), Pl. XVII, d. (P1. 14.8, no. 15.) ‘",14.8-15,Sk,2,1913
16,56,63,, II. Sculptures in bastard Hellenistic style (nos. 3~18),"16. Sk. ’13—2,o51; sq. 56-63’; stratum II. Height 5-25 in. Hair parted over forehead and taken back over ears. Topknot and wreath missing. Eyes sketchy and somewhat slanting. Mouth small. (Pl. 148, no. 16.) Type e. Heads of Parthian(.?) type, wearing moustache. With them may be compared the relief in shell no. 12, illustrated on P1. 208, no. 51.",148-16,Sk,2,1913
17,,,, II. Sculptures in bastard Hellenistic style (nos. 3~18),"17. Sk. ’19-I; south-west of D; Stratum 11. Height 3 in. Wears short hair falling in strands over forehead. The top and back of the head being broken, it is uncertain whether there was a topknot and wreath or not. (Pl. 149, a.)",149-a,Sk,,1919
18,56,63,, II. Sculptures in bastard Hellenistic style (nos. 3~18),"18. Sk. ’13—2,o5o; sq. 56-63’; stratum 11. Height 5-25 in. The hair is curled in a double line of ringlets over forehead and falls over the ears like a wig. The top and back of the head are missing. Ear—ring in left ear; right one is missing. (Pl. 149, b.) modelled eyes, long thin nose, and rather heavy jaw (nos. 19—22)",149-b,Sk,2,1913
19,54,62,," III. Heads of Bodhisattoa(?) type with turban and moustache, carelessly","19. Sk. ’13—2,1o5; sq. 54-62’; stratum II. Height 13-5 in. Indian turban in three rolls, crossing in the centre of the forehead and ﬁnished with a fantail ornament above. Eyelids carelessly put in. Nose thin and ‘wooden’. The moustache, which is missing, was aﬂ'ixed separately. Cf. A.S.R. (1912), P1. XVII, a. (P1. 149, h.)",149-h,Sk,2,1913
20,63,62,," III. Heads of Bodhisattoa(?) type with turban and moustache, carelessly","20. Sk. ’13—2,oo7; sq. 63-62’; stratum II. Height 4-75 in. Turban as above. Ear-pendant in left ear; right ear'missing. The nose is better modelled, but the eyes are very sketchy. Cf. A.S.R. (1912), P1. XVIII, d. (P1. 149, c.) 66-2 520 srucco SCULPTURES [can 26",149-c,Sk,2,1913
21,63,65,," III. Heads of Bodhisattoa(?) type with turban and moustache, carelessly","21. Sk. ’12—247; sq. 63-65’; stratum I. Height 4 in. Similar to preceding, but with large open eyes. Ear-rings in both ears. (Pl. 149, d.)",149-d,Sk,1,1912
22,54,60,," III. Heads of Bodhisattoa(?) type with turban and moustache, carelessly","22. Sk. ’13—2,158; sq. 54-60’; stratum II. Height 5° 5 in. Similar, but without moustache. The ears and part of right cheek are missing. Observe the circular indentation in the short upper lip. (Pl. 149, 6.)",149-6,Sk,2,1913
23,54,62,, IV. Torsos and limbs (no. 23),"23. Few pieces of the torsos or limbs belonging to these heads have been preserved. The biggest fragment is no. 23 (=Sk. ’13—2,125; sq. 54°61'; stratum 11; height 8 in.). It belongs to the ﬁgure of a well-developed woman, with her left arm bent double and leaning on a cushion. The head and lower part of the body are missing, as well as the left shoulder and left hand. The modelling is Vigorous, but coarse and clumsy, With little feeling for plasticity. These comprise part of a lotus capital, no. 24 (= Sk. ’13—2, 100; sq. 54-62’; stratum II; height 8 in.), with bead-and—reel moulding below the leaves, and fragments of various swags or garlands used to decorate the sides of the stﬁpas. Of the latter, no. 25 (=Sk. ’12—815; sq. 65-64’; stratum II; length IO in.) is adorned with six-petalled ﬂowers overlapping one another; another (no. 26: Sk. ’12—1,027; sq. 6666’; length 7' 5 in.), with ﬁve—petalled ﬂowers between crossed bands; a third (no. 27: Sk. ’12—820; stratum II; length 7 in.), with clusters of grapes and acanthus leaves; a fourth (no. 28=Sk. ’12—815; sq. 65-64’; stratum II; length 10 in.), with simple obcordate petals; and a ﬁfth (no. 29: Sk. ’12—815; sq. 65-64’; stratum II; length 11-75 in.), with quatrefoil blossom in reticulated pattern. (Pl. 149, f, g, i, j.) GROUP B. SCULPTURES OF THE INDO-AFGHAN SCHOOL (FOURTH AND FIFTH CENTURIES AD.) The sculptures of the Indo-Afghan School, which are represented by the following examples, fall into certain well-deﬁned categories. In the ﬁrst come the ﬁgures of the Buddha, which, as we have already seen, retain, generally, the traditional characteristics which distinguished them in the Gandhara School. In the second are the Bodhisattvas, which are generally recognisable at a glance by their elaborate head-dresses and the profusion of their jewellery. To the third category belong the monks, who wear the same robes as their Master but, unlike him, have shaven heads; and along with the monks a few specimens of Brahmanical ascetics. The fourth category comprises a multitude of devas and lay-worshippers, both male and female, who are represented making offerings or doing obeisance to the Blessed One or to the Bodhisattvas. In the ﬁfth category is included an equally numerous and varied company of yakshas or genii, which share, with the lions and elephants, the burden of supporting the tiers of the stﬁpa—plinths. These atlantes, as we may rightly call them, since the original conception of them was certainly derived from Greek prototypes, are depicted with an endless variety of grotesque faces and in every kind of writhing, and tormented posture. The lions and elephants, as well as the bulls which crown the Persepolitan pilasters, make up the sixth and last category. CH. 26] STUCCO SCULPTURES 521 STUcco RE’LIEFS OF MOHBA MORADU. Nos. 30—8, at. (Cf. ch. 18, pp. 358—64.) A. Reliefs on the main stﬂpa. Among the most beautiful sculptures of the Indo— Afghan School, whether of stucco, clay or terra—cotta, are the reliefs already referred to, on the south face of the main stﬁpa at Mohra Moradu. This face was divided by slender pilasters into eight bays, each of which was subsequently adorned with a group of ﬁgures, comprising one or more images of the Buddha with attendant Bodhisattvas or devas, while the faces of the pilasters themselves were enriched with two seated ﬁgures of the Buddha, one above the other, some enthroned on lotuses, some on simple seats. Of these eight groups the most arresting is the one in the fourth bay from the western end, to which the premier place was evidently given in virtue of its being opposite, or virtually opposite, the central north-south axis of the stﬁpa drum. The group in this bay, nos. 30, 3 I (Pls. I 50, a, I 5 I), comprised a seated Buddha in the middle with a standing Bodhisattva on either side, two celestial beings (devas)coming out of the background, on each side of the Buddha’s head, and two other ﬁgures—probably Bodhisattvas—enthroned on lotuses in the top corners. The image of the Buddha in the centre is seated in the Teaching attitude (s’ikshd—mudrd) on a lion-throne (simhdsana), in front of which are four miniature ﬁgures of slay-worshippers, including perhaps the donor of the group, two on one side of a bowl, two on the other. All the reliefs are coated with a thin slip of ﬁne plaster, and there are traces on them of the buff, red and black paints with which such ﬁgures seem to have been invariably embellished. The beauty of the group is necessarily much impaired by the damage it has sustained, especially to the head and hands of the central image, but the attendant Bodhisattvas and, the dew above the left shoulder of the Buddha give us a splendid conception of what the Indo—Afghan School, at its best, was capable of achieving. In the whole range of Indian sculpture it would be difﬁcult to point to ﬁgures more beautifully conceived or more perfectly executed than these. Observe the Bodhisattva on the right (Pl. 151); how digniﬁed his posture, as he stands slightly inclining towards the central image; how calm his expression; how delicate the modelling of his features. And notiCe, too, with what consummate skill the sculptor has handled his garments, draping the dhoti ever so lightly and gracefully about his legs, turning the long scarf in stylish folds about his arms, and giving to the whole a delicate suggestion of movement, as if the Bodhisattva were being borne insensibly towards the Buddha. Then turn from this ﬁgure and observe the dew above, emerging out of the background. Nothing could be more tender than the, attitude of his hands or more gentle than the expression on his face, as he descends from heaven to do homage to the Great Teacher. It is not only that these ﬁgures are nobly conceived; they are ﬁnished in every detail with exquisite grace and feeling. The draperies merit special notice. Although more formal and stylish than Hellenistic draperies, they exhibit the same technical methods as the latter in the treatment of their folds; that is to say, the mass of the material between the folds is cut away, and the folds themselves left standing out in relief, as they naturally","149-f-g-i-j, 151",Sk,2,1913
