,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
6,,,E, I. ‰Û÷Nude Mother‰Ûª or ‰Û÷Earth goddess‰Ûª type (nos. I~8),,"6. Sk. ‰Ûª1;6‰ÛÓ362 Block E‰Ûª; sq. 75 76‰Ûª; stratum II. Ex-voto relief with standing female •Âgure, of muddy brown clay. Height 4 in. No wash or slip. Head, feet and hands missing. Arms hanging at full length on either side of body. Cf. p. 184 supra. (Pl. I 32, no. 6.)",I 32-6,Sk,2,,24
7,8,61,1, I. ‰Û÷Nude Mother‰Ûª or ‰Û÷Earth goddess‰Ûª type (nos. I~8),"8,61","7. Sk. ‰Ûª16‰ÛÓ594; Block 1; sq. 8-61‰Ûª; stratum II. Ex‰ÛÓvoto plaque with standing female •Âgure, of greyish black terra‰ÛÓcotta. Height 4'2 5 in. Head and legs below knees missing. Right hand raised to waist. Left hand on hip. Cf. p. 142 supra. (Pl. 132, no. 7.)",132-7,Sk,2,1916,24
8,161,62,K, I. ‰Û÷Nude Mother‰Ûª or ‰Û÷Earth goddess‰Ûª type (nos. I~8),"161,62","8. Sk. ‰Ûª14‰ÛÓ89; Block K; sq. 161-62'; stratum II. Standing female •Âgure in the round of red terra‰ÛÓcotta. Height 3-62 in. Head and feet missing. Arms end in points below shoulders. Down the back is a plait of hair. (Pl. I 32, no. 8.) With the exception of no. 16, these •Âgures are in relief on ex-voto plaques. That they represent divine •Âgures there can be no doubt. In nos. 9 and I 5 no folds are visible on the draperies; in the remainder the folds are •Ânely delineated. The nature of the lower garment is not clear. In some it appears to be a dhoti or sari; in others it is more like a skirt, while 1n one specimen it is seemingly a pair of trousers such as Pathan and Hazara women generally wear at the present day. In some specimens the arms are at full length, holding out the skirt or trousers on either side of the legs (e.g. nos. 9 and 10); in others the right or left hand rests on the hip, while the other hand hangs down (e.g. nos. I 1‰ÛÓ15). None of the •Âgures are later than the second century B.C.",I 32-8,Sk,2,1914,24
15,,,," II. Female deity standing, with full-•Ââowing skirt (nos. 9‰ÛÓ16)",,"15. Sk. ‰Ûª14‰ÛÓ266; stratum 11. Outside the city wall. Votive relief of reddish yellow terra‰ÛÓ cotta with standing female. Height 5-5 in. No wash or slip. The •Âgure is wearing an elaborate veil, which hangs down the back on either side of the head, ear‰ÛÓpendants," necklace and a wide-•Ââowing garment below the waist. Cf. no. 9 supra. Of Maurya age or'earlier. (Pl. 132, no. 15). It is to be noted that, though nos. 14 and 15 come from Jandial and Sirkap respectively, they are of the same age as the Bhir Mound specimens.""5. Sk. ‰Ûª14‰ÛÓ266; stratum 11. Outside the city wall. Votive relief of reddish yellow terra‰ÛÓ cotta with standing female. Height 5-5 in. No wash or slip. The •Âgure is wearing an elaborate veil, which hangs down the back on either side of the head, ear‰ÛÓp",132-15,Sk,2,1914,24
16,,,," II. Female deity standing, with full-•Ââowing skirt (nos. 9‰ÛÓ16)",,"16. A derivative of the foregoing type may be a terra-cotta •Âgurine in the round found in Sirkap. (Sk. ‰Ûª12; Trench A 285; stratum II; height 3-87 in.) with head, right hand and legs missing. At •Ârst sight, this •Âgure, which is unique at Taxila, looks as if she was seated cross‰ÛÓ legged. In reality, however, she is standing with her skirts wide spread, the legs being broken off short. The left hand is turned upwards and holds some uncertain object. (Pl. 132, no. 16.) wearing tight skirt (nos. 17‰ÛÓ19) Her veil and braided hair fall from the crown on either side of the head. Her ornaments comprise a hip-girdle (mekhald), necklaces, bangles, and rosettes on the head. The bird, which may be a dove, calls to mind a familiar type of Aphrodite. The type strikingly resembles such •Âgures as Brit. Museum nos. B452, 458 from Naukratis or C232‰ÛÓ52 from Cyprus; and it is noteworthy that the arms retain the Ionian attitude proper to the female sex. Possibly the type may go back to an Ionian (Yawna) tradition introduced into the Panjab during Achaemenid times. Cf. Naakratis 1, Pl. II, nos. 1 and 2, Pl. XIV, no. 8.",132-16,Sk,2,1912,24
1,,,A, I. Prehistoric artefacts (nos. 1‰ÛÓ5),,"1. Sk. ‰Ûª27; Trench D78; stratum II. Polished celt of •Âne-grained light green epidiorite, with slightly crescentic edge and •Ââattened butt. Length 375 in. Sp. gr. of epidiorite=3-I4. Pl. I o, a. ( 2. Sk. ‰Ûª2)8‰ÛÓ-2I 1; Block A‰Ûª; sq. I 586‰Ûª; stratum IV. Short, splayed celt of dark green epidote- quartz, with crescentic cutting edge; polished. Length 268 in. Sp. gr. of stone=2-98. (Pls. 140, b; 143, a.)",,Sk,2,1927,25
3,19,94,A, I. Prehistoric artefacts (nos. 1‰ÛÓ5),"19,94","3. Sk. ‰Ûª29‰ÛÓI,I63; Block A‰Ûª; sq. 19-94‰Ûª; stratum III. Short celt of polished nephritic jade, With crescentic cutting edge. Length 325 in. Sp. gr. of stone = 296. Cf. p. 195 supra. (Pl. 140, c.)",140-c,Sk,3,1929,25
4,,,G, I. Prehistoric artefacts (nos. 1‰ÛÓ5),,"4. Sk. ‰Ûª17‰ÛÓ585; Block G; sq. loo-58‰Ûª; stratum III. Long celt of the Bandelkhand type, of grey quartzite, with blunted crescentic edge. Cf. p. 168 supra. Length 5å¡12 in. (Pl. 140, g.)",140-g,Sk,3,1917,25
5,,,, I. Prehistoric artefacts (nos. 1‰ÛÓ5),,"5. Sk. ‰Ûª16; Trench A728; stratum II. Pear‰ÛÓshaped mace‰ÛÓhead of blue serpentine, of a type found at Mohenjo-daro and Harappa as well as in Western Asia. Cf. M.I.C. I, p. 36, and",,Sk,2,1916,25
7,73,99,E, II. Pivot-stones (nos. 6‰ÛÓ10),"73,99",7. Sk. ‰Ûª19-869; Block E'; sq. 73-99‰Ûª; stratum II. Natural pebble of white quartzite with a small cavity in one face. Length 5-25 in. Cf. p. 184. supra. Type I). Door-sockets.,,Sk,2,1919,25
10,,,, II. Pivot-stones (nos. 6‰ÛÓ10),,"10. Sk. ‰Ûª16; Trench A725; stratum II. Similar to no. 8, but of hornblende-gneiss. Diam. 5-12 m. The oldest form of quern in India is the slab or saddle-quern, specimens of which have been found among the Chalcolithic ruins of Harappa and Mohenjo-daro (cf. M.I.C. pp. 25, 456‰ÛÓ7). Querns of a similar type, dating from the •Ârst century A.D., occur on the Sirkap site at Taxila, and are still widely used in India as sil or kari stones, though rarely for the grinding of grain. Strange to say, no MT 62 486 STONE OBJECTS . [011. 25 querns of this type have been found in the Bhir Mound settlement, which is anterior to about 200 no The quern then in use was the stool-quern with four legs. For Egyptian stool-querns, cf. Flinders Petrie, Tools and Weapons, Pl. LV, no. Io5‰ÛÓa type which is found in ancient Egypt as early as the IVth Dynasty. The Indian examples are usually decorated with simple designs, which, as time went on, became more and more ornamental. Whether this type of quern was used generally for the grinding of corn is questionable. The ornamental carvings on many of the specimens suggest that they were meant for the grinding of spices, karz', etc., rather than of corn. It is true that the earliest example of the circular grinding-mill found at Taxila is not earlier than the •Ârst century A.D., but it is quite possible that the grinding of cereals was chie•Âây done at or near the farms where the grain was grown, not in the city. On the other hand, the grinding-mill is found in most of the early medieval monasteries, and this fact, contrasted with its complete absence from any of the earlier settlements, goes far to show that it did not super- sede the quern until•Âafter the beginning of the Christian era. For Greek and Roman grindstones and mills, cf. Dar. et Sag. III, p. 1960 and IV, p. 167. Type a. Slab or saddle-querns.",,Sk,2,1916,25
11,37,50,B, III. Querns (nos. 11‰ÛÓ18),"37,50",I I. Sk. ‰Ûª24‰ÛÓ9; Block B; sq. 37- 50‰Ûª; stratum I. Saddle-quern of quartzite without ornament. Size 16 x 6 in.,,Sk,1,1924,25
12,36,50,B, III. Querns (nos. 11‰ÛÓ18),"36,50","12. Sk. ‰Ûª24‰ÛÓ200; Block B; sq. 36-50‰Ûª; stratum I. Similar. Size 15 x 5 in. Cf. p. I48 supra. (Pl. 143, d.) Type I). Stool~quems. The stool‰ÛÓquern is invariably made of sandstone, never of quartzite or other hard stone, and is usually decorated with carvings in relief. Some of the earlier specimens from the Bhir Mound have the upper surface scored with zigzag lines or other patterns lightly incised. In the later specimens of Mathura sandstone from Sirkap the carving is much more elaborate, and at one end the quern slab usually projects well beyond the legs and is supported on brackets. These specimens were no doubt made by the stone-carvers of Mathura and brought thence to Taxila.",143-d,Sk,1,1924,25
16,118,55,H, III. Querns (nos. 11‰ÛÓ18),"118,55","16. Sk. ‰Ûª26‰ÛÓI,804; Block H; sq. I 18' 5 5‰Ûª; stratum II. Similar, but of red Mathura sandstone, with projecting end carried on makara brackets. Length I I in. The sides and legs are ornamented with •Ââoral patterns in low relief. Cf. p. 169; A.S.R. (1926), P1. XXVIII, no. 12 and p. 118, no. 12. (Pl. 140, e; 143, c.) '",140-e; 143-c,Sk,2,1926,25
17,,,D, III. Querns (nos. 11‰ÛÓ18),,"17. Sk. ‰Ûª28‰ÛÓI,122, 1,140 and 1,222; Block D‰Ûª; sq. 65‰Û÷97‰Ûª; stratum I and stratum II. Similar, of spotted red Mathura sandstone, with projection at one end. On the other end, engraved in low relief, are two pairs of •Âshes with small lotus •Ââower, and above, two larger lotuses in CH. 25] STONE OBJECTS 487 squares; on each side is a lotus ‰Û÷Tree of Life‰Ûª (kalpa-lagfd) springing from a vase with •Âshes in each bend of its sinuous stalk. The bracket supporting the projecting end was in the form of a yakshz' or vrikshadevi, of which only the head remains. The quern, which is 13-5 in. long, is broken in three pieces, and two of the legs, with the front brackets, are missing. Cf. p. 190 supra. (Pl. 140,11.)","140,11",Sk,1,1928,25
18,13,77,1, III. Querns (nos. 11‰ÛÓ18),"13,77","18. Sk. ‰Ûª21‰ÛÓ15; Block 1‰Ûª; sq. 13'77'; stratum II. Similar, of reddish sandstone with pro‰ÛÓ jecting end, decorated with simple swag-like border, swastika and ‰Ûin•Ârm devices. Length 14-5 in. Cf. p. 196 supra. (Pl. 140, 2'.) The mullers used with these querns are generally between 9 and I I in. in length (but some are shorter) and 2 to 3 in. in diameter. Some are made of basalt, quart- zite, hornblende or other hard stone; others of sandstone. The former are used along with the hard-stone querns, the latter with the sandstone ones. The most orthodox shape seems to have been a long slightly barrel-shaped cylinder. Some, however, were true cylinders, and others Were natural pebbles rubbed roughly into shape. Many of the cylindrical specimens have been worn down by use in the middle or •Ââattened on one side. The following few examples from among the many found on the Bhir Mound and in Sirkap will su•Ââice.",140-2',Sk,2,1921,25
25,76,100,E, IV. Mullers (nos. 19‰ÛÓ26),"76,100","25. Sk. ‰Ûª19‰ÛÓ326; Block E‰Ûª; sq. 76'100'; stratum II. Similar, of purple-grey quartzose sandstone, cylindrical and slightly barrel-shaped, with •Ââat ends. Highly polished With wear. 9-75 in. long and 2-75 in. diam. Cf. p. 184 supra.",,Sk,2,1919,25
26,,,I, IV. Mullers (nos. 19‰ÛÓ26),,"26. Sk. ‰Ûª26‰ÛÓ3 54; Block I; sq. I 3 562‰Ûª; stratum II. Similar, of •Âne-grained chloritic quart- zite. A singularly •Âne specimen of dark grey-green colour and perfectly cylindrical in shape, with •Ââat ends. Length 8-37 in. Sp. gr. of stone=2-66. Cf. p. I71 supra. C L A s s V. Grinding-mills (nos. 2.7‰ÛÓ3 1) Type a. As indicated above, circular grinding-mills came into use at Taxila for the •Ârst time during the late Saka-Parthian period. The earliest specimen is no. 27.",,Sk,2,1926,25
27,,,, IV. Mullers (nos. 19‰ÛÓ26),,"27. Sk. ‰Ûª12; Trench A 461; stratum II. From Sirkap; made of grey Taraki sandstone. Diam. 16' 5 in. In this and the following specimens, the centre hole, through which the grain was introduced, was pierced through the nether as well as the upper millstone, the nether hole being then plugged with wood and furnished with a pivot or spike. In no. 27, the upper stone is convex above, concave underneath, thinning rapidly towards the edge, while the nether is convex above in order to •Ât with the upper one. As this grinding-mill was meant to be worked by two persons, the upper stone was provided with socket-holes for two handles. (Pl. 140, k.) 62-2   ‰ÛÏTWW‰Û÷WW ‰Û÷ ‰ÛÏ‰Û÷ General remarks on household and toilet vessels, etc. 488 STONE OBJECTS [CH. 25",140-k,Sk,2,1912,25
28,,,, IV. Mullers (nos. 19‰ÛÓ26),,"28. Sk. ‰Ûª14‰ÛÓ844. This is a later example of the •Âfth century AD. from the Kunala monastery. The surfaces between the two stones, instead of being curved, slope downwards in a straight line to the outside; there is a projecting boss on the upper stone round the central hole, and towards this boss the top surface of the upper stone has a gentle slope. This mill is also made of Taraki grey sandstone and has a slightly bigger diameter (16-62 in.) than no. 27, but it is provided with a socket‰ÛÓhole for one handle only. Possibly the changes introduced in the shapes of the stones and other details had tended to reduce the friction and so lessen the labour. (Pls. 140, 1; I43, 12.)",,Sk,,1914,25
30,36,57,B, IV. Mullers (nos. 19‰ÛÓ26),"36,57","30. Sk. ‰Ûª24‰ÛÓ14 and 268; Block B; sq. 36- 57‰Ûª; stratum II. Crushing-mill of quartzite in two pieces (height 21-5 in.; diam. 108 in.), with centre pivot of iron still •Âxed into the nether-stone. See drawing on Pl. 140, s, and photos on Pl. 143, e, f, g.",,Sk,2,1924,25
31,,,, IV. Mullers (nos. 19‰ÛÓ26),,"3 I. Sk. ‰Ûª12; Trench‰ÛªA 461; stratum II. Similar, of quartzite (height 16- 5 in.; diam. I 1-5 in.), with iron pivot still attached to nether-stone, but in this specimen the nether-stone is not so high as in no. 30. Vessels made of stone are relatively few in the earlier Bhir Mound cities and are restricted to those of simple shapes‰ÛÓmortars (with pestles), dishes, saucers, bowls and cups. The stones used for them are the hard abrz' (lower cretaceous shell lime- stone) and hornblende-gneiss, soft steatite and alabaster, and the semi-precious rock crystal and agate. Of alabaster there is only one example‰ÛÓa saucer of pinkish- white colour, no. 42. Abri and hornblende-gneiss were used during this early period for pestles and mortars; alm' also for cups and bowls; steatite (soapstone) for bowls and dishes; crystal for little toilet-trays; and agate for ornamental bowls, of which there is only one example. These stones were usually turned on the lathe, but sometimes ground down by hand. - Schist, as already indicated, was not introduced at Taxila until after the advent of the Bactrian Greeks (c. 190 B.C.); but from that time onwards this soft stone CH. 25] STONE OBJECTS 489 came more and more into vogue, •Ârst for simple articles like dishes and carved toilet-trays, but later on for a multitude of vessels and sculptures of all sorts. The earliest objects made of this stone are the two lathe‰ÛÓturned dishes nos. 38 and 39, and the two ornamental toilet-trays nos. 62 and 63,. all four of which are referable to the second century B.C. Later on, in the •Ârst century A.D., we •Ând schist being used for vases of many shapes, goblets, caskets, ladles and lamps, besides unguent- bottles and elaborately carved toilet‰ÛÓtrays. The three kinds of schist employed for these articles are the common grey schist of Gandhara, and a micaceous and hornblende schist from the same region; quartz mica-schist and the deep green chloritised mica-schist, favoured at this period by the sculptors of the North-West, were not used for household articles. Other soft stones employed during this period were steatite, phyllite, slate, claye stone and alabaster, but so far as Sirkap is concerned, no household objects made of these stones have been found in strata earlier than the Parthian, and even then their use is restricted to a few articles‰ÛÓmainly toilet‰ÛÓtrays and caskets. Specimens made of phyllite, slate, claystone and alabaster are very few; those of steatite are not so rare. During the Kushan period phyllite, as we shall see, was to become the favourite stone for sculpture, and other objects were to be made from it as well as from the other soft stones named above, which continued in use up to the early medieval period. With the introduction of schist for household vessels in the second century B.C., hard stones like gneiss and hornblende gradually ceased to be used for this purpose. Apart from pestles and mortars, for which particularly hard Varieties of stone are needed, only one example (no. 43) of a hard stone vessel has been found in Sirkap, and there is reason for believing that this was a survival from one of the earlier settlements. In regard to the use of agate for small bowls, cups, caskets, etc., the fragments of these vases found at Taxila correspond very closely with Pliny‰Ûªs description of the famous vasa myrrhina, which fetched such big prices at Rome. Pliny alleges that these vases came from Parthia and Carmania, but no importance need be attached to his statement, because, up to the time when the Red Sea route was opened up, the carrying trade between India and the West was exclusively in the hands of the Parthians, and it is hardly likely that the precise provenance of some of the goods - would be known to the Romans.I The manufacture of agate vases is an age-old industry in India, especially in Kathiawar and round about the gulf of Cambay, and there can be little doubt that it was from there that the Parthian merchants exported them to Italy. On the strength of a line of Propertius,2 it has been inferred (e.g. Ramsay and Lanciani, Manual of Roman Antiquities, p. 4.97), that the myrrhine vases must have been some sort of porcelain, but the foci referred to by Propertius were not ordinary kilns but the special trenched kilns in Which it was the Indian practice to roast agates and carnelians in order to bring out their colours. This process of burning agates was fully described by Barbosa as far back as I 517. Cf. Sir G. Watt, Commercial Products of India, p. 561, and Schoff, Periplus, pp. 193‰ÛÓ4. ‰Û÷ Schoff, Peri lus, . I . ‰Û÷ ‰Û÷Murrea ue in Parthis ocula cocta focis‰Ûª IV, v, 26 . P P 94- q P 490 STONE OBJECTS [CH. 25 Pestles and mortars are found at all periods at TaXila. The mortar takes the form of a cup with a shallow depression at the top and with a round or •Ââat base. The pestle resembles a small, short muller worn at the ends instead of the sides. Both are invariably made of hard stone such as abri, gneiss, hornblende, hornblende- gneiss or syenite.",,Sk,2,1912,25
33,10,36,, VI. Pestles and mortars (nos. 32‰ÛÓ5),"10,36","33. Sk. ‰Ûª16; Trench A254; stratum II. Cup-shaped mortar of hornblende-gneiss, with rounded bottom. Diam. 4-5 in. (Pl. 140, t.) 34. Bm. ‰ÛªI9‰ÛÓI,485; sq. 10-36‰Ûª; stratum IV. Pestle of hornblende; length 737 in.",140-t,Sk,2,1916,25
35,31,99,B, VI. Pestles and mortars (nos. 32‰ÛÓ5),"31,99","35. Sk. ‰Ûª19‰ÛÓ475; Block B‰Ûª; sq. 31-99‰Ûª; stratum II. Pestle of hornblende; length 375 in. Cf. p. 194 supra. ‰Û÷ Iron‰Ûª, ch. 27, Class IV; ‰Û÷ Copper and Bronze ‰Ûª, ch. 28, Class XVIIk‰Û÷a, b; ‰Û÷ Silverware ‰Ûª, ch. 29, Class V",,Sk,2,1919,25
38,32,86,B," VII. Dishes (nos. 36‰ÛÓ41). Cf. ‰Û÷ Pottery‰Ûª, ch. 23, Class XVI, a, b;","32,86","38. Sk. ‰Ûª29‰ÛÓ2,45I; Block B‰Ûª; sq. 32-86‰Ûª; stratum V. Broken rim of a large dish of grey schist, decorated with incised concentric circles. Diameter of dish, when complete, 16 in. Of very •Âne workmanship, turned on lathe.",,Sk,5,1929,25
39,36,89,B," VII. Dishes (nos. 36‰ÛÓ41). Cf. ‰Û÷ Pottery‰Ûª, ch. 23, Class XVI, a, b;","36,89","39. Sk. ‰Ûª29‰ÛÓ2, 571; Block B‰Ûª; sq. 36-89‰Ûª; stratum V. Broken dish, resembling Greek phiale mesomphalos, of grey micaceous schist, with central boss inside surrounded by concentric circles. Diam. 8 in. Rim and upper part missing. Similar to certain earthenware, silver and copper dishes with central boss (omphalos). For this and the following, cf. ‰Û÷Pottery‰Ûª, ch. 23, no. 109; ‰Û÷Silverware‰Ûª, ch. 29, no. 10; ‰Û÷Copper and Bronze‰Ûª, ch. 28, no. 289. (Pl. 140, n.)",140-n,Sk,5,1929,25
40,108,62,G," VII. Dishes (nos. 36‰ÛÓ41). Cf. ‰Û÷ Pottery‰Ûª, ch. 23, Class XVI, a, b;","108,62","40. Sk. ‰Ûª13‰ÛÓ198; Block G; sq. 108'62‰Ûª; stratum II. Similar. Diam. 6-5 in. Rim missing. Cf. p. 168 supra. (Pls. 140, p; 143, m.) 4r. Sk. ‰Ûª29‰ÛÓI,807; Block D‰Ûª; sq. 61-92'; stratum III. Fragment of a dish of grey hornblende- schist; length 7 in. On inside, three concentric circles incised; on outside, foliate border in relief; beneath, square projection with socket-hole for leg. A particularly attractive vessel of Parthian date, in the Gandhara style. Cf. p. 190 supra. (Pl. 140, 7).) Class XV; ‰Û÷Iron‰Ûª, ch. 27, Class IV; ‰Û÷Copper and Bronze‰Ûª, ch. 28, - Class XVII, c, d; ‰Û÷ Silverware‰Ûª, ch. 29, Class V",140-7,Sk,2,1913,25
43,74,52,E," VIII. Saucers (probably for toilet use; nos. 42‰ÛÓ7). Cf. ‰Û÷Pottery‰Ûª, ch. 23,","74,52","43. Sk. ‰Ûª13‰ÛÓI,2I 5; Block E; sq. 74'52'; stratum II. Similar, of hornblende‰ÛÓgneiss, turned on lathe. Diam. 437 in. Cf. p. 162, no. 7 supra. Although this saucer was found in the Saka-Parthian stratum in Sirkap, it was probably older by some two centuries or more. No other example of a vessel made of hard stone has been found in Sirkap, and in this case the shape, and its blunted exterior mouldings, point to an earlier date. Saucers of the Parthian period, if they have mouldings at all, usually have them sharply Ì© . a i s f f WM...‰ÛÏ . Wum CH. 25] STONE OBJECTS 491 de•Âned, and are almost always carinated like the specimens described below, with which we may compare also the earthenware saucer no. 107 (p. 418). (P1. 143, j.)",143-j,Sk,2,1913,25
44,84,89,F," VIII. Saucers (probably for toilet use; nos. 42‰ÛÓ7). Cf. ‰Û÷Pottery‰Ûª, ch. 23,","84,89","44. Sk. ‰Ûª28‰ÛÓ2,211; Block F‰Ûª; sq. 84-89‰Ûª; stratum IV. Saucer of grey schist, •Ânely turned on lathe; carinated sides and everted lip. Incised concentric circles in bottom, inside. Diam. 2' 37 in.",,Sk,4,1928,25
45,69,61,E," VIII. Saucers (probably for toilet use; nos. 42‰ÛÓ7). Cf. ‰Û÷Pottery‰Ûª, ch. 23,","69,61","45. Sk. ‰Ûª13‰ÛÓ1,332; Block E; sq. 69-61‰Ûª; stratum II. Saucer of micaceous schist, with carinated sides and everted rim. Border of lattice triangles on rim and foliate pattern below, inside. Diam. 4-25 in. Cf. p. 162, no. 8 supra. (P13. 140, r; 143, k.)",,Sk,2,1913,25
46,57,92,D," VIII. Saucers (probably for toilet use; nos. 42‰ÛÓ7). Cf. ‰Û÷Pottery‰Ûª, ch. 23,","57,92","46. Sk. ‰Ûª20‰ÛÓ764; Block D‰Ûª; sq. 57-92‰Ûª; stratum I. Similar, of grey schist, with incised net- work on everted rim, and quatrefoil rosette on bottom, inside, surrounded by foliate circle. Diam. 3-62 in. Cf. p. 190 supra. (P13. 140, u; 143, i.)",,Sk,1,1920,25
47,41,78,C," VIII. Saucers (probably for toilet use; nos. 42‰ÛÓ7). Cf. ‰Û÷Pottery‰Ûª, ch. 23,","41,78","47. Sk. ‰Ûª14‰ÛÓ481; Block C‰Ûª; sq. 41-78‰Ûª; stratum II. Similar, but with •Ââat base and rounded sides. Quatrefoil rosette on bottom, surrounded by concentric circles. Diam. 2-62 in. Cf. p. 193 supra. (Pl. 140, x.) The difference between the earlier and later saucers noticed above extends also to the standard cups or low tazzas described below. No. 49, which comes from the Saka-Parthian city in Sirkap, has a much more stylish and sharply de•Âned form than no. 48, which comes from the Maurya level in the Bhir Mound.",140-x,Sk,2,1914,25
49,45,80,C," IX. Standard cups (nos. 48, 49). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class XX, a","45,80","49. Sk. ‰Ûª14‰ÛÓ966; Block C‰Ûª; sq. 45-80‰Ûª; stratum II. Similar, but of grey schist, with incurved sides and wide angular rim. Diam. 36 in. Cf. p. 193 supra. (P1. 140, 2.) C LASS X. Bowls (nos. 50, 51). Cf.‰Û÷ Pottery‰Ûª, ch. 23, Class XV; ‰Û÷ Iron ‰Ûª, ch. 27, Class III; ‰Û÷ Copper and Bronze ‰Ûª, ch. 28, Class XVI; ‰Û÷ Silverware ‰Ûª, ch. 29, Class IV The only example of a stone bowl from the Bhir Mound is the small bowl of highly polished agate no. 50, and the only example from Sirkap is the steatite one from the Mahal site, no. 51. The former is of the third century 3.0., the latter of the second half of the •Ârst century A.D.",140-2,Sk,2,1914,25
51,42,115,," IX. Standard cups (nos. 48, 49). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class XX, a","42,115","51. Sk. (ML), ‰Ûª25‰ÛÓ252; sq. 42-115‰Ûª; 2 ft. 10 in. below surface. Small bowl of purple-grey steatite; diam. 3-25 in. Outside is ornamented with horizontal bands of incised linear designs ‰ÛÓnetwork, swags and lotus leaves‰ÛÓand a simple beading in relief. (Pl. 141, a.) Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class VII These correspond with Class VII of the pottery vessels, except that there is no example in stone of this type of vessel with a standard base. They are found only in the Saka‰ÛÓParthian city in Sirkap.",141-a,Sk,,1925,25
52,66,119,, XI. Open-mouthed vases with •Ââat bases (nos. 52‰ÛÓ6).,"66,119","52. Sk. ‰Ûª27‰ÛÓI,342; Sixth Street (west); sq. 66'119‰Ûª; stratum II. Small open-mouthed vase of grey hornblende-schist, with •Ââat base, beading at base of neck, and three incised bands round body. The neck is pierced with four holes for suspension or for attaching a cover. Height 5- 5 in. Cf. p. 184 supra. (Pl. 141, b.) E ‰ÛÏIn‰ÛÏ u 1 . _._ .3. .m•ÂmmmsÌ©•Âww   492 STONE OBJECTS [CH. 25",141-b,Sk,2,1927,25
53,73,100,E, XI. Open-mouthed vases with •Ââat bases (nos. 52‰ÛÓ6).,"73,100","53. Sk. ‰Ûª28‰ÛÓ715; Block E‰Ûª; sq. 73~100‰Ûª; stratum I. Similar and of same size, but with three bands of engraved leaves round body, and without any holes in neck. (Pl. 141, c.)",141-c,Sk,1,1928,25
54,26,78,A, XI. Open-mouthed vases with •Ââat bases (nos. 52‰ÛÓ6).,"26,78","54. Sk. ‰Ûª2o~‰ÛÓ220; Block A‰Ûª; sq. 26-78‰Ûª; stratum II. Similar to no. 53, but smaller, and with plain beading in relief round shoulder. Height 262 in. Cf. p. 195 supra. (P18. 141, d; 143, 11.) Two small vases of this class are more open-mouthed and at the same time more squat than the above.",,Sk,2,,25
55,47,54,C, XI. Open-mouthed vases with •Ââat bases (nos. 52‰ÛÓ6).,"47,54","55. Sk. ‰Ûª24‰ÛÓ614; Block C; sq. 47- 54‰Ûª; stratum III. Small open-mouthed squat vase of grey schist, with beading round base of neck; no rim. Incised bands below middle of body. Height 2-37 in. Cf. p. 149, n. 2 supra. (Pl. 143, q.)",143-q,Sk,3,1924,25
56,43,86,C, XI. Open-mouthed vases with •Ââat bases (nos. 52‰ÛÓ6).,"43,86","56. Sk. ‰Ûª22‰ÛÓ670; Block C‰Ûª; sq. 43'86‰Ûª; stratum II. Similar, of hornblende-schist, with •Ââanged neck-beading, and incised bands round lip, neck and middle of body. Height 2-37 in. Cf. p. 193 supra. (Pl. 141, e.) ‰Û÷Copper and Bronze‰Ûª, ch. 28, Class VI; ‰Û÷ Silverware‰Ûª, ch. 29, Class II Only two complete specimens of this class of vessel have been found, both from the Saka-Parthian city in Sirkap, but from the Greek level in the same site comes the fragment of a small cylindrical vessel of agate, which may have been used for the same purpose; and from Jandial a small phial of limestone, which was probably meant for some unguent or for kohl. The last-mentioned is of the early medieval period.",141-e,Sk,2,1922,25
57,34,86,B," XII. nguent vases (nos. 57‰ÛÓ9, a). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class III;","34,86","57. Sk. ‰Ûª29‰ÛÓ2,480; Block B‰Ûª; sq. 34-86‰Ûª; stratum V. Fragment of a cylindricalvessel of agate, with outer surface incompletely polished. Length 22 5 in.",,Sk,5,1929,25
58,27,84,A," XII. nguent vases (nos. 57‰ÛÓ9, a). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class III;","27,84","58. Sk. ‰Ûª20‰ÛÓ166; Block A‰Ûª; sq. 27-84‰Ûª; stratum II. Pear-shaped alabastrou of veined alabaster. Height 4-62 in. Cf. p. 195 supra. (Pls. 141, no. 58; 143, r.)",,Sk,2,1920,25
59,,,," XII. nguent vases (nos. 57‰ÛÓ9, a). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class III;",,"59. Sk. ‰Ûª27; Trench H56; stratum I. Tall cylindrical unguent vase of grey schist, with cordon and incised bands round body. Height 6-37 in. (Pls. 141, f; 143, s.)",,Sk,1,1927,25
