,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
,,,,,,,,,,,
50,,,, XIII. Greek and quasi-Greek ¥åÅgurines (nos. 45äóî53),,"50. Dh. äó»15äóî388; mon. court A; 5 ft. below surface. Head of male ¥åÅgurine with conical cap. Height I in. Dark red slip. Probably of Parthian date, but Hellenistic in its featuring. Cf. A.S.R. (1915), p. 10 and p. 278 supra. (Pl. 133, no. 50.) The two following are Partho-Greek in style.",133-50,Dh,,1915,24
,,,,,,,,,,,
90,,,, XVII. Toy animals without carts or wheels (nos. 72äóî107),,"90. Dh. äó»;I7äóî48 mon. court A; 3 ft. 6 in. below surface. Toy hull of red terra-cotta, with dark red wash. Height 5 in. A bell is tied round the neck. Horns slightly damaged. The modelling 1s better than usual in this class of toy. Cf. p. 278 supra. (Pl. I 3 5, d.) Type 6. Of larger size, with hollow pipe-like bodies, long hollow legs and circular hindäóîquarters. The clay is sometimes red, but more often brown or grey. These toy bulls seem to have been manufactured more or less in this form in both early and late times. In the earlier specimens the eye takes the form of a circlet with a punctured dot in the centre. In the later it consists of a round pellet in the centre, with a circlet around.",I 3 5-d,Dh,,,24
,,,,,,,,,,,
93,,,, XVII. Toy animals without carts or wheels (nos. 72äóî107),,"93. Dh. äó»16äóî527; mon. court A; 2ft. below surface. Toy bull of red terra-cotta, with hollow body and long stilted hollow legs. Height 85 in. Rope round neck; hump behind head. Hind part and three legs missing. Cf. p. 278 supra.",,Dh,,1916,24
,,,,,,,,,,,
97,,,, XVII. Toy animals without carts or wheels (nos. 72äóî107),,"97. H1.äó» 12äóî141 , 3 ft. 6 in. below surface. Terraäóîcotta dog(?) with head turned to right. Length 3- 75 in. Hair indicated by incised lines. Legs broken. Eyes deep set, like a monkeyäó»s. (Pl. 135, h.) Of the four specimens of toy rams selected, one solid one comes from the Bhir Mound, one solid and one hollow one from Sirkap, and one solid one from the Dharmarajika St¥åÅpa. All four are in poor condition. Humped bulls Camel Dog(?) Rams Wild goat Birds Monkeys Rattles 458 TERRA-GOTTA AND CLAY OBJECTS [011. 24",135-h,Dh,,,24
,,,,,,,,,,,
101,12,27,G, XVII. Toy animals without carts or wheels (nos. 72äóî107),"12,27","101. Dh. äó»12~429; st¥åÅpa area. Toy ram of red terra-cotta; mouth damaged. Length 4-12in. (Pl. 135, k.) 102. Bm. äó»19äóî869; sq. 12-27äó»; stratum II. Wild heäóîgoat with long horn over back (the other horn is missing). Legs and mouth damaged. Length 3-5 in. (P1. 1 3 5, 1.) 103äóî4. Sk. äó»28äóî2,245; Block G'; sq. 107.80äó»; stratum V. Two toy birds of grey black clay, with outspread wings ending in pointed tail. Very crude work of second century B.C. Cf. pp. 127, 181 supra. All the toy monkeys come from Sirkap. They are very like the prehistoric ¥åÅgures of men, but provided with a tail, against which they can rest when set in an upright position. The nose and face are pinched in the same way as the prehistoric human ¥åÅgurines.","135-k, 1 3 5-1",Dh,2,1912,24
,,,,,,,,,,,
111,,,, XVIII. Rattles (nos. 108äóî18),,"111. Dh. äó»15äóî1,100; mon. court A; 2 ft. below surface. Toy rattle in form of duck with wings half spread. Length 375 in. Incised lines on body, wings and tail to indicate feathers. Red clay. Head missing. Round base in place of legs. Cf. A.S.R. (1915), p. 10, no. 16, and p. 278 supra.",,Dh,,1915,24
,,,,,,,,,,,
111,,,, XVIII. Rattles (nos. 108äóî18),,"111, a. Dh. äó»15äóî1,274; mon. court A; 10 ft. below surface. Similar, but without standard base or feather markings. Length 4. in. CH. 24] TERRAäóîGOTTA AND CLAY OBJECTS 459",,Dh,,1915,24
,,,,,,,,,,,
114,,,, XVIII. Rattles (nos. 108äóî18),,114. Dh. äó»16äóî23 5; mon. court A; 2 ft. below surface. Terraäóîcotta rattle in the form of a tortoise. Head missing. Height 312 in. Cf. p. 278 supra.,,Dh,,1916,24
,,,,,,,,,,,
121,,,, XIX. Whistles (nos. 119äóî21),,"121. Dh. äó»17äóî66; mon. court A; 9 ft. below surface. Whistle of black clay in the shape of a narrow-necked vase with three holes on the same side of the body, one large and two small. Height 262 in. Cf. p. 278 supra. (Pl. 135, 7).) Playing-dice of terra-cotta are relatively rare, the materials commonly used for their manufacture being bone or ivory (cf. ch. 32, pp. 662äóî3). The only advantage of terra-cotta was its cheapness. Of whatever material they are made, the dice are always oblong in shape like the modern Indian dice, never cubical; and they are marked on the four long sides with the numbers I, 2, 3 and 4. From the Bhir Mound only one die of terra-cotta has been recovered, viz.:",135-7,Dh,,1917,24
,,,,,,,,,,,
136,10,60,, XXI. Decorative pieces and personal ornaments (nos. 126äóî45),"10,60","136. Dh. äó»13äóî1,7I3; G6; 3 ft. 6 in. below surface. Medallion of grey terra-cotta, with a head in high relief. Diam. 1-62 in. The head is shown full face with ¥å‰owing locks parted in the middle. It may be a head either of Apollo or of Alexander the Great, and may well have been copied from a contemporary Hellenistic coin type. Cf. p. 258, no. 6 supra. (P1. I 3 5, gg, 1.) Two other medallions from the same mould were found at the Dharmarajika St¥åÅpa, viz. Dh. '16~781 (no. 136, a) and Dh. äó»13äóî1,863. (Pl. 138, h, z'.) :37. 13m. '21416; sq. 10'60äó»; stratum III. Bulla of red terra-cotta. Diam. 1-75 in. On convex side. within beaded border, relief of lion killing a bull. Two holes from back to front wear centre. This is a ¥åÅne bit of Hellenistic relief, such as may have been imitated by the sculptors of Side!!! when carving some of the medallions on the balustrade of the second st¥åÅpa, when: the same motif is to be found. (Pl. 136, a.)","I 3 5-gg-1, 138-h-z', 136-a",Dh,3,1913,24
,,,,,,,,,,,
136,,,, XXI. Decorative pieces and personal ornaments (nos. 126äóî45),,"136. Dh. äó»I3äóîI,7I3; G6; 3 ft. 6 in. below surface. Medallion of grey terra-cotta, with a head in high relief. Diam. 1äóÖ62 in. The head is shown full face with ¥å‰owing locks parted in the middle. It may be a head either of Apollo or of Alexander the Great, and may well have been copied from a contemporary Hellenistic coin type. Cf. p. 258, no. 6 supra. (P1. I 3 5, gg, 1.) Two other medallions from the same mould were found at the Dharmarajika St¥åÅpa, viz. Dh. äó»16äóî'78: (no. 136, a) and Dh. äó»13äóîI,863. (Pl. 138, h, i.)","I 3 5-gg-1, 138-h-i",Dh,,1916,24
,,,,,,,,,,,
165,,,, XXIV. Buddhist terra-cotta and clay ¥åÅgures (nos. 164-87),,"16 5. Terra-cotta head from chapel D 5 at the Dharmarajika. Height 5-12 in. The hair, which is parted above the forehead and tied in a topknot, is treated in unusually heavy masses, äóÖ Cf. A.S.R. (1911äóî12), p. 76, nos. 47, 48, and P1. XXV. CH. 24] TERRA-GOTTA AND CLAY OBJECTS 469 which might be thought to indicate an earlier date for this head, but the clear-cut, mobile lips and other features leave no doubt that it is a product of the IndoäóîAfghan School. Cf. p. 249 supra. (Pl. 138, b.)",138-b,Dh,,,24
,,,,,,,,,,,
166,,,, XXIV. Buddhist terra-cotta and clay ¥åÅgures (nos. 164-87),,"166. Dh. äó»1 3äóî1, 500; chapel G6. Bearded head of a middle-aged man, 10 in. in height, made of well-burnt terra-cotta, not of clay converted by accidental ¥åÅre into terraäóîcotta. The hair, which is long and taken back from the forehead, is left unde¥åÅned at the back of the head, evidently because the ¥åÅgure was in high relief and not intended to be seen behind. The brows are soft; the eyes large and wide open; the lips full; and the beard and the hair are shown in relatively ¥åÅne strands, as contrasted with their more massy treatment in the stucco heads of the Parthian period from Sirkap. Cf. p. 257, no. 4. supra; A.S.R. (1912äóî13), p. 20 (3), and P1. V, d. (Pl. 137, b.) 167. Dh. äó»13äóî543; chapel B12. Head of beardless youth, of well-burnt terra-cotta, I 1-5 in. high. Tip of nose and left eye damaged. The hair falls forward over the forehead but is brushed back at the sides of the head; the modelling of nose, lips and cheeks is more sensitive and expressive than in the bearded head, and the eyebrows are more sharply de¥åÅned. The eyes themselves, though large and open, incline slightly to the oblique, suggesting a vestige of Mongolian strain in the model. Both this and the preceding are no doubt portraits; but of the two, the beardless head is a more subtle and engaging piece of work and stamped with more character than the other. The pity is that in these, as in so many other cases, only the heads have survived. Probably it was only the heads that were made of terra-cotta, the rest being of unbaked clay, which time and weather have inevitably destroyed. Cf. A.S.R. (1912äóî13), p. 14 (4), and P1. V, a. (Pl. 137, a.) 168. Dh. äó»14äóî58 5; chapel R 1. Female head, with the hair taken back from the forehead and a veil falling backwards from the crown of the head. Height 7-75 in. The mouth and chin are noticeably small, the nose sharply pointed, and the eyes small and somewhat oblique, with the pupils indicated by incised lines. The ear-lobes are pierced for ear-rings. Cf. p. 254 supra; A.S.R. (1914.), P1. VII, a. (Pl. 138, c.) 169. Dh. äó»15~950; men. court A; 8 ft. below surface. Bearded head of Brahmanical ascetic, with strongly pronounced features. Height 7 in. The hair is taken back in coarse strands from the forehead and coiled on the crown of the head. The eyes appear to have been inserted in separate pieces in their sockets. The modelling of the features, though rough, is full of vigour and there is a freedom about it which argues no little ability on the part of the artist. It should be noted that the clay of this head is badly burnt, but the burning does not appear to have been accidental. Cf. p. 278 supra; A.S.R. (1915), P1. III, b. (Pl. 138, d.) 170. Dh. äó»12äóî1,9I6; chapel L. Male head, with hair taken back from forehead and remains of bow on top of head. Height 5 in. Deep-set eyes with prominent eyeballs and heavy eyelids; rather high cheek-bones, full ¥å‰eshy lips, and prolonged ear-lobes. To What class of ¥åÅgure this head belonged, is uncertain. It seems safe, however, to say that it was not a personal portrait. At ¥åÅrst sight the full fleshy features call to mind the stucco head, no. 78, which also comes from the Dharmarajika St¥åÅpa, but that head is a portrait head and decidedly superior in style and execution to this one. (Pl. 138, e.) _ I71. Dh. äó»13äóîI,452; B 16; 6 ft. below surface. Male head with moustache, wearing elaborate Indian turban and heavy ear ornaments. Height 4- 5 in. Somewhat similar heads of stucco are to be found among the sculptures at Jaulia¥åÅ and Mohra Moradu. Cf. p. 24.9 supra; A.S.R. (1912), P1. VI, a. (P1. 138, f.)","137-b, 137-a, 138-c, 138-d, 138-e, 138-f",Dh,,1913,24
,,,,,,,,,,,
172,,,, XXIV. Buddhist terra-cotta and clay ¥åÅgures (nos. 164-87),,"172. Dh. äó»15äóî1,195; mon. court A; 8 ft. below surface. Head of Bodhisattva(?) with hair falling from ushm'sha over forehead and ending in plaited fringe, most of which is missing. Height 6'2 5 in. Above the fringe is a ¥åÅllet tied in a bow. From the back of the ushzu'sha a veil falls down the back. The eyes are large and staring; the nose and lips more than usually pro- minent. Cf. p. 278 supra; A.S.R. (1915), Pl. III, e. (Pl. 138, g.) MT 60 Kalawan (nos. 173äóî8) Mohra Moradu (nos. 179äóî80) 470 TERRA-GOTTA AND CLAY OBJECTS [CH. 24 When describing the stucco ¥åÅgures from Kalawan (p. 3321), I draw attention to an unusual facial type found almost exclusively on that site, with rather short nose, full cheeks and chin and pronouncedly curved lips. The stucco heads in question are not of especially highäóîclass style, but their character is so distinctive, that they can be picked out at a glance from among the countless other specimens at Taxila. The same observation applies to most of the terra-cotta and clay heads from the Kalawan monasteries, only that in their case the style and workmanship is of a very much higher order, putting them, along with the stucco reliefs of Mohra Moradu, among the ¥åÅnest products of the Indo-Afghan School. '",138-g,Dh,,1915,24
,,,,,,,,,,,
91,,,T2, XIV. Trays (nos. 62äóî97),,"91 . Dh. äó» I 5äóî613; T2; 2 ft. below surface. Similar, of grey schist, divided into four quadrants with circular depressions in centre. Diam. 4-5 in. Two quadrants contain lotus leaves, the 498 STONE OBJECTS [011. 25 third a winged sea-monster, and the fourth a ¥åÅgure with human body and ¥åÅsh-tail legs. On one of the legs is seated a small female ¥åÅgure. Chevron pattern on partitions and chevron and scale border on rim. Five-petalled rosette in central depression. Cf. A.S.R. (1915), P1. V, b and p. 8, no. 29. For the two ¥åÅshäóîtail legs, see Dar. et Sag. s.v. äóÖAloadaeäó» and R.U.C., ch. 39 infra, no. 94. (Pl. 146, no. 91.)",146-91,Dh,,,25
,,,,,,,,,,,
111,,,, XVII. Lamps (nos. 10947),,"111. Dh. äó»12äóî1 12; D8; 8 ft. below surface. Similar (length 4-62 in.), with Kharoshthi inscription on outside: Taksha(säó»)ilaami dhamarai'(e Dhamadasabhikskun)o (esha)saputrasa danamukhe(o)=äóÖIn the Dharmarajika compound of Takshasäó»ila this is the gift of the friar Dharmadasa(?).äó» Cf. pp. 249, 252 supra; A.S.R. (1912), P1. XIV, d; and for the inscription, C11. 11, pp. 89äóî90. According to Prof. Konow, the characters are later than the silveräóîscroll inscription of the year 136=A.D. 78~9 (see above, ch. 10, p. 256), but earlier than Kanishkaäó»s reign. The lamp may, therefore, be assigned to about the beginning of the second century A.D. (Pl. 146, no. 111.)",146-111,Dh,,1912,25
,,,,,,,,,,,
115,,,T2, XVII. Lamps (nos. 10947),,"I I 5. J1. äó»12äóî3 5; Mound D. Similar in shape to the foregoing but of pink Vindhyan sand- stone and much cruder workmanship. Length 4-12 in. The spout, which takes the form of an animaläó»s head, is longer, and the body adorned with lotus instead of acanthus leaves. Round the mouth at the top is a zigzag pattern. Early medieval period. (Pl. 142, 6.) Type c. Rectangular in shape, with human-headed spout. n6. Dh. äó»I7äóî16o; T2; 2 ft. below surface. Rectangular lamp of micaceous schist, with human-headed spout; length 2-37 in.; three pierced lugs on side for suspension. Beneath the rim, dog-tooth moulding. Probably ¥åÅfth century A.D. (Pls. 142, d; 146, no. 116.)",142-6,Dh,,1912,25
,,,,,,,,,,,
117,,,, XVII. Lamps (nos. 10947),,"117. Dh. äó»I2äóî764; G3; 3 ft. 6 in. below surface. Similar to foregoing but of phyllite, with lotus pattern round body. Length 4-43 in. (P1. 142, e.) my. a, {3. Another lamp of this type, also of phyllite, is ¥åÅgured in P1. 142, h (Dh. äó»12äóî2,23o) and a small emcee lamp of the same shape in P1. 142, zäóÖ (Dh. äó»16äóî1,o72). Cases XVIII. Bmtlshers and polishers (nos. 1 18äóî20) These my have served various purposes, but it is probable that they were chiefly used for the pnliahing of small gold and silver articles.äóÖ The larger kind are fmm 2-5 tn 4. in. in length, spindle-shaped, and generally with one end more painted than the other. They are made of sardoine, banded agate, chalcedony or chert. But there is another and smaller type of burnisher intended for exceptionally ¥åÅne work, which consists of a tiny point of agate set in a copper handle. This latter type has been found only in Sirkap; the larger type occurs in the Bhir Mound as well as in Sirkap. Type a: 1x8. Bm. äó»15äóî323; stratum II. Burnisher of impure chalcedony, blotched white and grey. Length 4in. (Pls. 142, g; 146, no. 118.)",142-e,Dh,2,1912,25
,,,,,,,,,,,
165,,,D," XXVI. Moulds (nos. 141äóî52). Cf. äóÖTerra-cottasäó» ch. 24, Class XXII;",,"165. Inkäóîgrinder of rock-crystal, square in section, with four heads carved in relief at the four corners. Handle on top broken. Size o-62xo-62, in. Dh. äó»14-903. B27. 4ft. below surface. (Pl. 142, ee.) The weights found at Taxila are more than usually valuable, as they are the ¥åÅrst of their kind to be found in su¥å‰icient number for us to ¥åÅx their values with virtual accuracy, as well as the ratios which they bear to one another. These weights are invariably made of a hard stoneäóîgranite, hornblendeäóîgneiss, pyroxene, diorite or chertäóîand are spherical in shape, that being, so far as we know, the usual shape then in vogue in Hindustan and other parts of India. In this respect they differ from the weights in use in prehistoric times, which are usually cubical in form,I 1 Cf. M.I.C. ch. XXIX, p. 589. Œ‚.9 CH. 25] STONE OBJECTS 509 though, in the case of larger weights, sometimes conical. Why a spherical weight should have been preferred to a cubical or conical one, is not apparent, since it is neither a convenient shape when the weights are being piled together in the scales, nor, on the other hand, would it have stood in the way of dishonesty, if anyone had wished to grind down their weights. Possibly there was some reason with which we are not now acquainted. Apart from their shape, there is another feature of these stone balls that requires particular notice, because it may have to be taken into account when calculating their original weight. Many of them have a small cylindrical hole drilled into their surface, which was probably made when the weights were being of¥åÅcially checked, and left hollow, if the weight had to be reduced, or ¥åÅlled with lead, if it had to be increased. Some of the balls still retain this lead packing in their cavities; in others the cavities are hollow. We must not, however, take it for granted that the cavity was always hollow, since in the course of the ages, the lead may obviously have decayed or fallen out. Nor, on the other hand, must we take it for granted that any given cavity was necessarily intended to be ¥åÅlled or partly ¥åÅlled. It may have been made, merely to reduce the weight, when the balls were being of¥åÅcially tested, this being the quickest means of achieving that end. In the same way modern iron weights often have circular cavities drilled out of their underside, which are either left hollow or ¥åÅlled with lead according as the weight has to be reduced or increased. Altogether, some ¥åÅfty-four spherical weights have been found at TaXila, but of these, two are evidently un¥åÅnished and eleven have their edges so rubbed or chipped that it is impossible to draw reliable conclusions from them. The remaining thirty- nine all come from Sirkap, twenty-¥åÅve from the jewelleräó»s hoard in Block Däó» (Sk. 933/56) ;I seven from another group (Sk. 729); and three from another (Sk. 225). In discussing them I shall deal ¥åÅrst with the series of twenty-¥åÅve from the jewelleräó»s hoard, since these not only comprise the largest number, but belonging as they did to a jeweller, by whom they would no doubt be used for the weighing of precious metals, they are likely to have been more than usually accurate. . . It needs but a glance at the serial ¥åÅgures of these weights given below to perceive that the majority of them fall into a regular binary sequence of ratios. Thus, starting from the last and smallest unit no. 25, which is 51-5 gr. tr., the ratios of the last eighteen are, with one exception, as I, 2, 4, 8, I6, 32 and 64. The exception is no. 13, which has aweight of I ,07 5 gr. tr. equivalent to twenty times the smallest unit. Now, eliminating the two weights I6 and 23, which are damaged, and taking the average of the remainder, we ¥åÅnd that the unit works out at 523 gr. tr. or, allowing for wear and tear, say 53 gr. tr. This is the weight of the standard Indian punch-marked coin known as kdrshdpazta, and also one of the commonest units in the prehistoric weights of the Indus valley. The series of weights, then, should be, 53, 106, 212, 424, 848 (1,060), 1,696, 3,392 gr. tr. It may be that the loss from wear and tear I See vol. I, pp. 188äóî9. * MT 65 ¥å‰             510 STONE OBJECTS [011. 25 Spherical weights from jewelleräó»s hoard in Sirkap (Cf. pp. 188-9.) Those marked with an asterisk have a small cavity sunk in their surface.     Sk. 933/56 gr. troy",142-ee,Dh,,1914,25
,,,,,,,,,,,
72,,,, V. Architectural fragments (nos. 24äóî9),,"72. Dh. äó»15äóî893. From inside chapel N17. Head of the Buddha belonging to a colossal standing ¥åÅgure. Height 1325 in. Conventional type, with hair taken back from forehead. Finely modulated mouth. Circular dimple in upper lip; highly arched eyebrows; eyelids halfäóîclosed. Umd originally painted on plaster, not in relief or inlaid. Cf. p. 269 and nos. 49, 5o supra; A.S.R. (1915), Pl. 111, g. (P1. 159,f.)","159,f",Dh,,1915,26
,,,,,,,,,,,
73,,,, V. Architectural fragments (nos. 24äóî9),,"73. Dh. äó».14äóî824 From B23. A ¥åÅne Buddha head of conventional type with hair waved sideways from central parting. Height II 25 in. Face proportionately broader and nose shorter than 1n preceding example. Uma originally painted on forehead. Illustrated in A. S. R. (1914äóî15), P1. IX, a.",,Dh,,,26
,,,,,,,,,,,
74,,,, V. Architectural fragments (nos. 24äóî9),,"74. Dh.äó» 13 I ,536. From east of G3. Head of the Buddha. Height 8 1n. Ushm'sha missing. Uma mark in relief. Upper eyelids more open and mouth more ¥å‰eshy than 1n preceding examples. Base of nostrils emphasised by 1mpressed l1nes Cf. p. 257 (I)supm; A. S. R. (1912äóî13), P1. VI, b and p. 20, no. 1. (P1. I 59, g.)",I 59-g,Dh,,,26
,,,,,,,,,,,
75,,,, V. Architectural fragments (nos. 24äóî9),,"75. Dh. äó»12äóî1,955. From st¥åÅpa J, west side. Stucco head of the Buddha with elongated face, highly developed forehead, oblique eyes and eyebrows. Height 837 in. Slightly smiling mouth, with full underäóîlip. Conventional curly hair indicated by small incised circlets. Ushm'sha and ears missing. Traces of red paint on lips. Buff slip. (Pl. I 59, j.)",I 59-j,Dh,,1912,26
,,,,,,,,,,,
76,,,, V. Architectural fragments (nos. 24äóî9),,"76. Dh. äó»16äóî3 52. From north-west side of st¥åÅpa QI. Stucco head of Buddha, with eyes smaller than usual and eyebrows ¥å‰atter. Height 6-87 in. Ushm'sha missing; tip of nose and äóÖ earäóîlobes damaged. Lime-wash. No ¥å‰rzzd. (Pl. I 59, h.)",I 59-h,Dh,,1916,26
,,,,,,,,,,,
77,,,, V. Architectural fragments (nos. 24äóî9),,"77. Dh. äó» 12. From chapel B 12. Stucco head of Bodhisattva with face slightly more elongated than usual and well-rounded chin. Height 9 in. Eyes half-closed. Hair disposed in strands falling from the ushmäóÖsha and ending in curls suggestive of bronze technique; round the fore- head it is con¥åÅned in a circlet. Umd mark in relief. Cf. p. 249 supra; A.S.R. (1912), P1. V, 6. (Pl. 159, i.)",159-i,Dh,,,26
,,,,,,,,,,,
78,,,, V. Architectural fragments (nos. 24äóî9),,"78. Dh. äó»16äóî918. From debris of st¥åÅpa UI. Stucco head with skull-cap. Height 6 in. Observe the ¥å‰eshiness and mobility of the features and the relative breadth of the nose, which is less conventionalised than in the Buddha and Bodhisattva heads. The pupils of the eyes are rather prominent. Left ear and rosette of cap are missing. (Pl. 160, a.)",160-a,Dh,,1916,26
,,,,,,,,,,,
79,,,, V. Architectural fragments (nos. 24äóî9),,"79. Dh. äó»14äóî686. From chapel R3. Stucco head of a lay-¥åÅgure, intended to be seen from the right side. Height 3-85 in. Hair and ears damaged. Lime-wash. Buff slip. Observe the well-arched eyebrows, open horizontal eye, somewhat short nose and long upper-lip, with a rather pronounced under-lip. The expression is a very homely and natural one. Cf. p. 254 supra; A.S.R. (1914äóîI5), Pl. VI, d and p. 6, no. 2. (Pl. 160, b.)",160-b,Dh,,1914,26
,,,,,,,,,,,
80,,,, V. Architectural fragments (nos. 24äóî9),,"80. Dh. äó»I4äóî666. From debris west of main st¥åÅpa. Stucco head of a lay-¥åÅgure, intended to be seen from proper right. Height 4äóÖ2 5 in. Wears moustache. Eyes deep-set, and nose broad at base. Kerchief covering the head and knotted over right car, like skull-cap. Buff slip. Traces of red paint on kerchief. (Pl. 160, c.)",160-c,Dh,,,26
,,,,,,,,,,,
81,,,, V. Architectural fragments (nos. 24äóî9),,"81. Dh. äó»I3äóîI,800. From P4. Stucco head wearing elaborate cap with jewelled rosette on right side. Height 637 in. Features somewhat conventional, suggesting a Bodhisattva or dew; eyes slightly oblique, modelling of checks delicate, chin small; lips full and pleasing. Buff slip. Traces of paint on cap, rosette and lips; nose damaged. Cf. p. 267 supra; A.S.R. (1912), P1. VI, (3. (Pl. 160, d.)",160-d,Dh,,,26
,,,,,,,,,,,
82,,,, V. Architectural fragments (nos. 24äóî9),,"82. Dh. äó»I4äóîI74. From R2, debris. The ¥åÅgure wears a ditch"" and shawl and is seated in the lil¥åÅsrma attitude, holding in the left hand a bowl containing some uncertain object. Height 6-75 in. Round the neck are two necklaces. Right foot missing. It is evidently the ¥åÅgure of an Buddhas Bodhisattva Lay and other attendants Monks and ascetics Amorini Buddhas Bodhisattvas Lay-wor- shippers and attendants 53o STUCCO SCULPTURES [CH. 26 attendant from the right side of a Buddha or Bodhisattva image. Cf. p. 254 supra; A.S.R. (1914), P1. VI, 1). (Pl. 160, e.)",160-e,Dh,,,26
,,,,,,,,,,,
82,,,, V. Architectural fragments (nos. 24äóî9),,"82, a. Dh. äó»15äóî1,490. From east gate of main st¥åÅpa; 2 ft. below surface. Torso and right leg of standing male ¥åÅgure. Height 7-25 in. Well modelled. Nude, except for scarf and collar. Cf. A.S.R. (1915äóî16), p. 8, no. 3. (Pl. 156, b.)",156-b,Dh,,1915,26
,,,,,,,,,,,
83,,,, V. Architectural fragments (nos. 24äóî9),,"83. Dh. äó»13äóî189. From north-east of main st¥åÅpa. Stucco head of monk with bald head, shaggy eyebrows and wrinkles on cheeks and forehead. Height 5 in. Deep-set, wide-open eyes. Tip of nose and ears damaged. Observe the dreamy, distant look obtained by drawing down the underäóîlids of the eyes. Cf. A.S.R. (1912), Pl. VI, (1. (Pl. 160, f.)",160-f,Dh,,1913,26
,,,,,,,,,,,
84,,,, V. Architectural fragments (nos. 24äóî9),,"84. Dh. äó»1 5äóî1,141. From north side of st¥åÅpa P8. Height 4-75 in. Stucco head of an ascetic with drawn features, deep-set eyes and haggard expression. Ear-lobes protracted. Right side of skull missing. Cf. p. 271 supra; A.S.R. (1915), P1. III,f. (Pl. 160, g.)",160-g,Dh,,,26
,,,,,,,,,,,
85,,,, V. Architectural fragments (nos. 24äóî9),,"85. Dh. äó»14äóî5 52. From chapel P4. Stucco head of boy, shaven except for three tufts of hair over ears and centre of the forehead. Height 3- 5 in. Earäóîpendant in left ear. Right ear missing. Probably a garland-bearing Amorino. Cf. p. 267 supra; A.S.R. (1914), P1. XII, I4. Closely resembling it are two other heads also from the same site, viz.: Dh. äó»16äóî12 (height 35 in.) and Dh. äó»16äóî295 (height 325 in.). (P1. 160, h.) STUCCO FIGURES OF KALAwAN Nos. 86äóî96. (Cf. ch. 14, pp. 324-5, 332.)",160-h,Dh,,1914,26
,,,,,,,,,,,
86,,,, V. Architectural fragments (nos. 24äóî9),,"86, a, b, c. Three heads of Buddha images struck from the same mould, but exhibiting slight differences in the ¥åÅnishing of the hair and other details. The facial type represented by these heads, with its rather short nose, full cheeks and chin, and pronouncedly curved lips, is characteristic of many of the stucco sculptures found at Kalawan, as well as of one or two from the Dharmarajika St¥åÅpa, but not represented at other sites.",,Dh,,,26
,,,,,,,,,,,
99,,,, V. Architectural fragments (nos. 24äóî9),,"99. B1. äó»29äóî340. Panel from the plinth on the south-east side of the main st¥åÅpa, 28 x 18 in. It depicts the Buddhaäó»s mahdparinirvdna. Between two Corinthian pilasters the Buddha is lying at full-length on his right side. Behind him are four mourning ¥åÅgures, of whom the one near his feet seems to be a woman. Below, on the face of the plinth, are four other small ¥åÅgures, of which the one near the head is a Dhyani Buddha, and the one near the feet a devotee kneeling with folded hands. The two central ¥åÅgures appear to have swooned with grief at the sight of their dying Master. This is the only stucco panel from this part of India which depicts the Buddhaäó»s death-scene. (P13. 118, b; 161, m; the latter showing the relief as set up in the museum.)",,Dh,,1929,26
,,,,,,,,,,,
46,,,, XIV. Bells (nos. 41äóî7),,"46. Large cylindrical bell of iron, with ring-handle. Height 12-25 in. Slightly damaged; clapper missing. Dh. äó»30äóî712; sq. 1510äó»; 3 ft. 10 in. below surface.",,Dh,,1930,27
,,,,,,,,,,,
11,,,, XX. Arrowäóîheads (nos. 72äóî89),,"II, p. 608, Kao Iv, OI and vol. III, P1. LXXI. The author, however, does not attempt to explain the peculiarity of the type. 4 Ancient Indian literature refers to arrow-heads of many shapes, e.g. ardhacandra (äóÖhalf-moonäó»), kshurapra (with a razoräóîedge), szäóÖwimukha (needle-shaped), vatsa-dzmta (like a calfäó»s tooth), etc. Cf. }.A.O.S. XIII, pp. 275äóî81. 548 IRON OBJECTS [011. 27 The three-bladed type (g) seems to have been specially favoured by the Sakas,I to whom its introduction at Taxila was no doubt due. It is noteworthy, however, that many specimens of this three-bladed, as well as of the four-bladed type, have been found along with specimens of (a) and (d) types at the Dharmarajika and other monasteries destroyed by the White Huns in the ¥åÅfth century AD. It is a reasonable surmise that the former weapons were used by the attacking Huns; the latter, which were traditional at Taxila, by the defending monks, though the three- bladed type, which had long before been introduced by the Sakas, may also have been used by the defenders. For arrow-heads made of bone and ivory, see below, äóÖBone and Ivoryäó», ch. 32, Class XVIII, nos. 105äóî14. No arrowäóîheads made of copper or bronze or horn have been found at Taxila. Type a:",,Dh,,,27
,,,,,,,,,,,
161,,,," XXXIII. Nails, nailäóîbosses and hooks (nos. 150äóî66)",,"I61 . Lotus-shaped boss of copper with iron centre. Length 2'I2 in. Probably ¥åÅfth century AD. Dh. äó»13äóî963; east of K; I ft. below surface. (P1. 168, no. 161.)",168-161,Dh,,1913,27
,,,,,,,,,,,
204,29,25,, XXXIX. Sickles (nos. 203äóî7),"29,25","204. Similar, but bent at sharp angle in middle. Inner edge serrated. End ¥å‰attened out and pierced with nailäóîhole for attachment of handle. Length 8-62 in. Date uncertain. Dh. äó»30äóî73; sq. 29-25äó»; 2 ft. 2 in. below surface. Cf. p. 287 (11) supra. (P1. 169, no. 204.)",169-204,Dh,,1930,27
,,,,,,,,,,,
