,X,Y,block,class,coord,description,plate,site,stratum,year
72,135,49,I," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","135,49","72. Similar, but with rounded butt. Length 4.5 in. Sk. ’26—1,108; Block I; sq. 135-49’; stratum III.",,Sk,3,1926
73,45,40,C," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","45,40","73. Similar to no. 71. Length 393 in. Sk. ’24—149; Block C; sq. 45-40’; stratum II. Cf. p. 149, n. 2 supra. (Pl. 206, no. 33.)",206-33,Sk,2,1924
74,168,99,K," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","168,99","74. Similar, but with tenon at head. Length 325 in. Sk. ’15—933; Block K’; sq. 168'99’; stratum II. The tenon was presumably intended for ﬁxing an ornamental terminal such as that ﬁgured in Schreiber, op. cit. Pl. LXXXIX, 5. Cf. p. 180 supra.",,Sk,2,1915
75,145,47,J," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","145,47","75. Similar, but with rounded butt, roughly cut. Length 449 in. Sk. ’26—I,437; Block J; sq. 145-47’; stratum II. Cf. p. 171 supra. (Pl. 206, no. 34.)",206-34,Sk,2,1926
76,41,53,C," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","41,53","76. Bone stilus (?) with ball point and ﬂattened butt. Length 4' 5 in. This and the following specimens may have served as modelling tools rather than writing stili. See above. Sk. ’24——502; Block C; sq. 41-53'; stratum III. Cf. p. 149, n. 2 supra. (Pl. 206, no. 36.)",206-36,Sk,3,1924
77,72,57,E," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","72,57","77. Similar, with ball point broken. Butt slightly ﬂattened. Length 56 in. Sk. ’I3—I,345; Block E; sq. 72-57’; stratum II. Cf. p. 162, n. 1 supra. ,",,Sk,2,
78,129,40,I," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","129,40","78. Similar, with ball point and ﬂattened butt. Length 431 in. Sk. ’26—2,009; Block I; sq. 129-40’; stratum II. Cf. p. 171 supra. (Pl. 206, no. 35.)",206-35,Sk,2,1926
79,118,49,H," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","118,49","79. Similar to preceding, but of ivory. Length 4 in. Sk. ’15—395; Block H; sq. 118-49’; stratum II. Cf. p. 170 supra.",,Sk,2,1915
80,116,43,H," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","116,43","80. Similar, but of bone. Length 318 in. Sk. ’15—248; Block H; sq. 116-43’; stratum II. Cf. p. 170 supra.",,Sk,2,1915
81,15,92,A," XII. Writing stili (yporcpis, GTUAos, stilus) and modelling","15,92","81. Similar, but with longer shaft, broken and rounded off, and well-made chisel-shaped butt. Length 612 in. Sk. ’28—217; Block A’; sq. 15'92'; stratum IV. Cf. p. 135 supra. (Pl. 200, m and P1. 206, no. 38.) Very few specimens of spindle-whorls made from bone or ivory have been found at Taxila, and all of them come from Bhir Mound strata of the fourth to third centuries 3.0. 1 It is noteworthy in this connexion that the Greek word ypoccpls is used for both a stile and a graver. MT 84 662 BONE AND IVORY OBJECTS [CH. 32",200-m and 206-38,Sk,4,1928
82,29,11,, XIII. Spindle-whorls (nos. 82—4),"29,11","82. Spindle-whorl of bone in form of ﬂat disk pierced with hole at centre. Diam. 1 in. Bm. ’19—2,027; sq. 29-11’; stratum III. (P1. 200, r and P1. 203, r.)",200-r and 203-r,Bm,3,1919
83,51,8,, XIII. Spindle-whorls (nos. 82—4),"51,8","83. Similar, but of ivory and plane-convex shape. Diam. 0-93 in. Bm. ’19—1,397; sq. 51-8'; stratum II. (Pl. 204, y.) ' 84. Similar to no. 83. Diam. 1-6 in. Bm. ’21—1,088; sq. 36-20’; stratum II. (Pl. 200, u.) GROUP D. GAMESMEN AND PLAYTHINGS These comprise: (a) ﬂat tablets, circular, square, or hexagonal in shape, which probably served as draughtsmen or counters; (b) playing dice of the long Indian type; and (c) knuckle-bones for playing the Greek game of astragaloi. C L A S s XIV. Draughtsmen or counters (nos. 8 5—9 1) These come exclusively from the Bhir Mound and are referable to the ﬁfth to third centuries 3.0. They are made of both bone and ivory, and usually take the form of ﬂat circular disks, ﬂat on the lower side and with a raised boss in the centre of the upper side, surrounded by concentric circles or two concentric rows of slightly raised excrescences. Others are thin, square, or hexagonal tablets. The circular ones vary in diameter from 0-7 to 1-15 in. and in thickness from 0-8 to 0-18 in. The upper surface is highly polished.","204-y, 200-u",Bm,2,1919
85,19,56,, XIII. Spindle-whorls (nos. 82—4),"19,56","85. Disk of ivory, with two concentric rows of circular excrescences round centre—«four in inner row, eight in outer. Probably used as a draughtsman or counter. Diam. 0-68 in. Bm. ’21—909; sq. 19-56’; stratum IV. (Pl. 200, i.)",200-i,Bm,4,1921
86,30,13,, XIII. Spindle-whorls (nos. 82—4),"30,13","86. Similar, with nine concentric rings round embossed centre. Diam. 1 in. Bm. ’21—345; sq. 30-13’; stratum IV. (Pl. 203, q.)",203-q,Bm,4,1921
87,16,54,, XIII. Spindle-whorls (nos. 82—4),"16,54","87. Similar, with three concentric circles round central boss. Stained reddish and grey. Diam. 0-81 in. Bm. ’24—613; sq. 16-54’; stratum III. (Pl. 203, s.)",203-s,Bm,3,1924
88,8,44,, XIII. Spindle-whorls (nos. 82—4),"8,44","88. Similar to no. 85. Slightly damaged. Diam. 1-12 in. Bm. ’19—63; sq. 8-44’; stratum II. (Pl. 203, t.)",203-t,Bm,2,1919
89,28,20,, XIII. Spindle-whorls (nos. 82—4),"28,20","89. Hexagonal ivory piece, slightly concave on upper surface. Diam. 0-68 in. Bm. ’20* 1,336; sq. 28-20’; stratum II. (Pl. 203, v.)",203-v,Bm,2,1920
90,47,60,, XIII. Spindle-whorls (nos. 82—4),"47,60","90. Square tablet of ivory with crossed diagonal lines incised on one side. 0- 56 in. square. Bm. ’21—722; sq. 47-60’; stratum III. (Pl. 200, j.)",200-j,Bm,3,1921
91,29,36,C, XIII. Spindle-whorls (nos. 82—4),"29,36","91. Similar, but of bone, with arrow, nandipada and swastika symbols engraved on one side —perhaps for luck. Size 0-62 x 0-68 in. Bm. ’20—1,596; sq. 29-36’; stratum III. (Pl. 203, u.) With one doubtful exception from the Bhir Mound, all the playing dice found at Taxila come from Sirkap and Sirsukh, and are referable to the Greek and Saka— Parthian period and later. They are made of ivory, bone, slateI and terra-cotta;2 are invariably oblong in shape, not cubical; and range in size from 1-8 X 022 in. to 378 X 065 in.3 The numbers I, 2, 3 and 4 are indicated by concentric circles or simple dots and as a rule follow each other consecutively round the four long I Cf. ‘Stone Objects’, ch. 25, no. 154. 2 Cf. ‘Terra-cottas’, ch. 24, nos. 122—5 (Class XX). 3 The smallest specimen comes from Sirsukh and is probably of late date. CH. 32] BONE AND IVORY OBJECTS 663 sides, but occasionally I is placed opposite to 2 or 4. All specimens of bone and ivory come from Sirkap. 92. Three oblong dice of bone with I to 4 marked on sides. The marks consist of four circlets within a circle. Length 3-75 in. Sk. ’26~9; Block C’; sq. 47—48-95’; stratum V. Cf. pp. 125, 135 supra. 92, a. Oblong playing die of ivory with I to 4 marked on Sides. The marks consist of four circlets within a circle. The ends of the die are decorated with incised lines and circlets. Mark I is on the side opposite to mark 4. Length 362 in. Sk. ’29-I,658; Block C’; sq. 46-88’; stratum IV. Cf. p. 13 5 supra. (Pl. 200, p.)","203-u, 200-p",Bm,3,1920
93,52,75,C, XV. Dice (nos. 92—8),"52,75","93. Similar, but of bone, and marks consist of dot surrounded by two concentric circles. Mark I is opposite to 3. Length 35 in. Sk. ’14—680; Block C’; sq. 52-75’; stratum IV. Cf. pp. 135, 193 supra. (Pl. 200, q.) 94. Similar, of ivory. Bands of three parallel lines at either end. Mark I is opposite to 3. Length 3-62 in. Sk. ’20—631; Block A’; sq. 18-81’; stratum III. Cf. p. 195 supra. 95. Similar, of bone. Mark 1 is opposite to 4. Length 3-5 in. Sk. ’14—100; Block C’; sq. 42-74’; stratum III. Cf. p. 193 supra. 96. Similar to preceding. Length 3-5 in. Sk. ’24—86; Block 1’; sq. 14-94’; stratum II. Cf. p. 196 supra.",200-q,Sk,4,1914
97,107,56,G, XV. Dice (nos. 92—8),"107,56","97. Similar, but marks consist of group of three circlets surrounded by two concentric circles. Bands of three circlets between two incised parallel lines on each side at ends. Mark 1 opposite to 4. Length 3-87 in. Sk. ’14ﬂ392; Block G; sq. 107- 56’; stratum II. Cf. p. 169 supra. (Pl. 200, t.)",200-t,Sk,2,1914
98,140,62,I, XV. Dice (nos. 92—8),"140,62","98. Similar, but marks consist of single dot in circle. Two incised parallel lines at ends. Mark I opposite to 4. Length 3-12 in. Sk. ’26—436; Block I; sq. 140-62'; stratum II. Cf. p. 171 supra. (Pl. 200, 7).) Knuckle-bones (o’ro'rpétyomm) were used by the Greeks from an early age for playing a game somewhat similar to dice. Later the word dGTpc'ryoOxm was applied to dice proper, but they continued to have only four ﬂat sides, the other two being round. The four ﬂat sides were marked with the number I (represented by a pip as in the dice of Class XV) opposite to 6, and 3 opposite to 4. ‘ The numbers 2 and 5 were wanting. In playing they threw four éoTpc'xyorAOI out of the palm of the hand or from a box (Tri'pros). The best throw ((56709), when each die came up differently, was called ’Aq9p05i'rn or Mi8ag or ‘HporKAﬁs; the worst, when all the dice came up alike, KUwv.’ (Liddell and Scott, Lex. s12. dO'Tpéq/ockos.)",200-7,Sk,2,1926
99,,,F, XVI. Knuckle-bones (no. 99),,"99. The only astragaloi found at Taxila were a large group of the old-fashioned, uncut knuckle-bones, such as are depicted in Greek vase paintings of the fourth and ﬁfth centuries B.C. They were unearthed in Block F'; sq. 89—90-97’; stratum III. Cf. p. 182 supra. These articles are usually made of ivory (there is only one of bone), and are referable to the ﬁrst century AD. They call to mind the toy furniture from Hawara in Roman Egypt ﬁgured in Flinders Petrie, Objects of Daily Use, Pl. LIV, 554 and 555, though the latter is more roughly made. The specimens described below, all from Sirkap, seemingly belong to six different pieces—probably 84-2 664 BONE AND IVORY OBJECTS [CH. 32 diminutive trinket chests (Gk. Kipo'o'nov), but possibly toy tables or even bed— steads. Pl. 204, p shows a restoration of a chest or table made up of members from several specimens.",,Gr,3,
100,39,46,B, XVII. Toy furniture or miniature chests (nos. 100—4),"39,46","100. Ivory corner—post of a miniature chest or toy table, with six holes for the attachment of the side—pieces. Provided with foot—mouldings and decorated on the outer faces with incised horizontal lines and concentric circles. Height 2-93 in. Sk. ’24—523; Block B; sq. 39'46’; stratum II. Cf. p. 148, no. 6. (Pl. 204, n.)",204-n,Sk,2,1924
101,54,98,D, XVII. Toy furniture or miniature chests (nos. 100—4),"54,98","101. Similar, but of bone. Lower part rounded by chisel, not turned on the lathe. Height 2-81 in. Sk. ’20—294; Block D’; sq. 54-98’; stratum II. Cf. p. 191 supra.",,Sk,2,1920
102,116,56,H, XVII. Toy furniture or miniature chests (nos. 100—4),"116,56","102. Similar to no. 100, but slightly plainer. Length 268 in. Sk. ’26—1,935; Block H; sq. 116-56’; stratum II. Cf. p. 170 supra. (P1. 204, o.)",204-o,Sk,2,1926
103,17,43,A, XVII. Toy furniture or miniature chests (nos. 100—4),"17,43","103. Rectangular side-piece of chest or table made of ivory and decorated with incised circlets on outer side. Seven peg-holes for ﬁxing to legs and top. Size 3‘ 5 x 162 in. Sk. ’29— 2,104; Block A; sq. 17-43’; stratum II. Cf. p. 146 supra. (Pl. 204, r.)",204-r,Sk,2,1929
104,14,86,1, XVII. Toy furniture or miniature chests (nos. 100—4),"14,86","104. Similar to preceding, but decorated with two rows of double concentric circlets between line—borders. Length 3-5 in. Sk. ’28~119; Block 1’; sq. 14-86’; stratum III. Cf. p. 196 supra. (P1. 204., q.) GROUP E. WEAPONS AND HORSE—BRIDLES The bone and ivory arrow—heads from Taxila are of four types, viz. : (a) roughly shaped and sharpened at both ends. These are the objects which Cunningham took to be ‘ spillikins ’ or ‘ tip-cats ’, but they are much too small for the game in question and there can no longer be any doubt that they served as arrow-heads; (b) with smooth circular point and well-deﬁned tang; (c) with a point similar to (b) but with a hollow socket—hole behind for the shaft—tenon; (d) with a trilateral point and hollow socket—hole behind. Type (a) is found in both the Bhir Mound and Sirkap and was in use from the ﬁfth or sixth century B.C. to the ﬁrst century A.D.; but the earlier Bhir Mound specimens are distinguished from the Sirkap ones by having the point of the arrow-head somewhat better ﬁnished than the tang. Types ([2), (c) and (d) are found exclusively in the Bhir Mound and date from the fourth and third centuries B.C. Kautilya (bk. II, ch. 18) mentions arrows tipped with bone or wood as well as with metal, but these bone and ivory arrow-heads from Taxila could hardly have been intended for serious warfare, unless they were poisoned. Possibly they were employed for practice archeryI or for shooting birds; or it may be that they were found useful for the town police as being less deadly than iron ones. The following are typical specimens: Type a. Roughly shaped and sharpened at both ends.",204.-q,Sk,3,1928
105,10,38,, XVIII. Arrow-heads (nos. 105—14),"10,38","105. Bone arrow-head with sharp point and tapering tang. Length 3-18 in. Bm. ’19—1,995; sq. 10'38’; stratum IV. (Pl. 206, no. 9.)",206-9,Bm,4,1919
106,27,60,, XVIII. Arrow-heads (nos. 105—14),"27,60","106. Similar. Length 25 in. Bin. ’21—254; sq. 27-60’; stratum IV. (P1. 206, no. 6.) I For a classical scene of boys practising archery, cf. Schreiber, op. cit. Pl. LXXX, 7. CH. 32] BONE AND IVORY OBJECTS 665",206-6,,4,1921
107,157,112,K, XVIII. Arrow-heads (nos. 105—14),"157,112","107. Similar, but no difference between the point and tang. Sk. ’15—482; Block K; sq. 157-112’; stratum II. Cf. p. 177 supra. (Pl. 206, no. 10.) Type I). With smooth circular point and well—deﬁned tang.",206-10,Sk,2,1915
108,20,59,, XVIII. Arrow-heads (nos. 105—14),"20,59","108. Arrow-head of bone with circular point divided from tang by projecting ﬂange. Length 3-12 in. Bm. ’21—207; sq. 20-59’; stratum III. (Pl. 206, no. 3.)",206-3,Bm,3,1921
109,12,30,, XVIII. Arrow-heads (nos. 105—14),"12,30","109. Similar but with rebate between point and tang. Length 2-5 in. Bm. ’19—422; sq. 12-30'; stratum II. (Pl. 206, no. 4.)",206-4,Bm,2,1919
110,45,130,, XVIII. Arrow-heads (nos. 105—14),"45,130","110. Similar. Length 237 in. Bm. ’21—898; sq. 45-130’; stratum II. Type c. With circular point as in Type b, but with hollow socket at back for insertion of shaft tenon.",,Bm,2,1921
111,14,57,, XVIII. Arrow-heads (nos. 105—14),"14,57","111. Bone arrow-head with long circular point and socket-hole at back. Length 3-62 in. Bm. ’24—894; sq. 14-57’; stratum IV. (Pl. 206, no. 11.)",206-11,Bm,4,1924
112,12,29,, XVIII. Arrow-heads (nos. 105—14),"12,29","112. Similar, but with shorter point. Length 1-81 in. Bm. ’19—2,063; sq. 12-29’; stratum II. (Pl. 206, no. 7.)",206-7,Bm,2,1919
113,21,8,, XVIII. Arrow-heads (nos. 105—14),"21,8",113. Similar. Length 137 in. Bm. ’21—587; sq. 21'8’; stratum II. Type d. With trilateral point and hollow socket behind.,,Bm,2,1921
114,18,39,, XVIII. Arrow-heads (nos. 105—14),"18,39","114. Ivory arrow-head with trilateral point and circular shaft provided with socket-hole behind. Length 2-37 in. Bm. ’20—809; sq. 18-39’; stratum II. (P1. 206, no. 8.) Cheek—bars of horses’ bridles have been found only among the Parthian remains in Sirkap. Some are made of horn, others of bone usually curved in imitation of horn, and others of iron (cf. ‘ Iron Objects ’, ch. 27, nos. 99, 100). As explained in the chapter on ‘ Iron Objects ’, Class XXII, the cheek-bar or cheek-ring was used with the snaﬂle-bit to prevent the rein slipping into the mouth. The horn and bone specimens are invariably pierced with two holes in which an iron staple was ﬁxed for the bit-rings to pass through, as shown in P1. 205, b, which. illustrates an ancient bit, with cheek-bars complete, from Central Asia.",206-8,Bm,2,1920
115,90,79,F, XIX. Cheek—bars of horses’ bridles (nos. 115—18),"90,79","115. Cheek-bar of horn with two tines. Length 8-75 in. The bar is pierced with two holes at 2-25 and 3-5 in. above the base. Decorated with three incised parallel bands near base. Sk. ’15—166; Block F’; sq. 90-79’; stratum III. Cf. p. 183 supra; A.S.R. (1915), P1. IX, 4. (Pls. 200, w; 205, e.) ‘",,Sk,3,1915
116,45,79,C, XIX. Cheek—bars of horses’ bridles (nos. 115—18),"45,79","116. Similar, but of bone curved in imitation of a horn. Length 4in. Sk. ’14~1, 555; Block C’; sq. 45-79’; stratum II. Cf. p. 193 supra. (Pl. 200, x.)",200-x,Sk,2,1914
117,167,48,K, XIX. Cheek—bars of horses’ bridles (nos. 115—18),"167,48","117. Similar to preceding, but longer. Decorated with incised parallel lines and chevron near base. Length 6-37 in. Sk. ’14—134; Block K; sq. 167-48’; stratum II. Cf. p. 177 supra. (Pl. 200, y.)",200-y,Sk,2,1914
118,64,74,, XIX. Cheek—bars of horses’ bridles (nos. 115—18),"64,74","118. Similar, but not curved. Decorated with two bands of incised lines round upper half. Broken. Length 3-62 in. M1. ’25—222; sq. 64-74’; 2 ft. below surface. Cf. p. 216 supra. (Pl. 200, s.) 666 BONE AND IVORY OBJECTS [CH. 32 GROUP F. MISCELLANEOUS",200-s,,,1925
119,34,27,, XX. (Nos. 119—28),"34,27","1 19. Proﬁle head of ram in low relief, of fossilised ivory. Length 1 in. The relief is admirably carved. It is ﬂat at the back and may have been aﬂixed to a knife—handle or pin-head. Among the Romans a ram’s head was an auspicious symbol of hospitality (cf. Dar. et Sag. 3.7). ‘Hospitum’). For another ram’s head carved on a scaraboid seal, see ‘Seals and Sealings’, ch. 34, no. 11. Both objects come from the Bhir Mound and are referable to the same period. For the ram motif in other objects, see ‘Copper and Bronze’, ch. 28, nos. 298, 299; ‘Seals’, ch. 34, no. 10; ‘Beads’, ch. 37, pp. 737 and 749. The fossilised ivory of which this and no. 122 are made probably came from Siberia, whence the Mughals also obtained their supply of it. Bm. ’20-596; sq. 34-27’; stratum II. (Pl. 208, no. 52.)",208-52,Bm,2,1920
120,,,D, XX. (Nos. 119—28),,"120. Ivory handle or pendantvadorned on either side with a bearded Greek head of the philosopher type, seemingly of Socrates. The carving is good Hellenistic work. Through the middle of the pendant is a vertical hole and, at the back of the heads, two diagonal channels, presumably for metal bands. The two heads are much worn, and this, coupled with the large size of the hole, suggests that the object served as a handle rather than as a pendant. Width . 2-12 in. Illustrated in A.S.R. (1912), P1. XX, d. Sk. ’12; Trench A459; from Early Saka or Greek level beneath forecourt of stﬁpa-chapel in Block D. Cf. p. 151 supra. (Pl. 203, p.)",203-p,Gr,,1912
121,,,, XX. (Nos. 119—28),,"121. Crude standing ﬁgure of a man, in the round—~probably a doll. The man wears a long tunic with a band above the waist and a necklace. Through the body from shoulder to shoulder there is a hole for the attachment of movable arms; and another tiny hole from the back to the front of the shoulder, for the same purpose. Height 2-75 in. Bm. ’16—324; stratum II. (Pl. 203, 0.)",203-0,Bm,2,1916
122,26,57,, XX. (Nos. 119—28),"26,57","122. Side-piece of dagger-hilt of fossilised ivory (cf. no. 119 supra). Two holes for rivets. Length 4-25 in. Bm. ’24—515; sq. 26-57’; stratum IV. Cf. p. 122 supra. (Pl. 200, a.)",200-a,Bm,4,1924
123,,,F, XX. (Nos. 119—28),,"123. Leaf-shaped lid of small box with a depression underneath, contrived to slide over the top of the box. It is 2rin. long and made of ivory. Cf. Flinders Petrie, op. cit. Pl. XXVI, 11, a. Sk. ’26—2,705; Block F; sq. 91°48’; stratum IV; Saka period. Cf. pp. 135, 166, n. I supra. (P1. 204, x.) '",204-x,Sk,4,1926
124,69,73,, XX. (Nos. 119—28),"69,73","124. Leg of ivory belonging to a piece of furniture. At the bottom is a well-turned base moulding; at the top, a tenon. Length 7-12 in. Sk. ’16—10; Main Street; sq. 69-73’; stratum III. (Pl. 204, s.)",204-s,Sk,3,1916
125,43,127,, XX. (Nos. 119—28),"43,127","125. Bone handle or terminal, with bead—and-reel moulding and square tenon at base. Length 262 in. Bm. ’21—1,546; sq. 43-127’; stratum II. (Pl. 204, t.)",204-t,Bm,2,1921
126,59,103,D, XX. (Nos. 119—28),"59,103","126. Similar, but broken at top. Length 206 in. Sk. ’29—600; Block D’; sq. 59-103’; stratum III. Cf. p. 191 supra. (Pl. 204, u.)",204-u,Sk,3,1929
127,,,, XX. (Nos. 119—28),,"127. Similar, with pear-shaped head; broken at other end. Length 1- 56 in. Sk. ’22—491; spoil earth. (P1. 204, w.)",204-w,Sk,,1922
128,,,, XX. (Nos. 119—28),,"128. Stopper or terminal of bone. Length 1-25 in. Sk. ’13; Trench A456; stratum II. (P1. 204, *0.)",204-*0,Sk,2,1913
