,X,Y,block,class,description,plate,site,stratum,year
90,85,89,F," XXI. Armour, helmet and shield bosses (nos. 90—5)","90. Eighteen armour plates of iron much corroded and adhering together, along with three links of an iron chain. Size about 10 x85 x -08 in. thick. Sk. ’28«1,782; Block F’; sq. 85'89’; stratum II. The plates are curved to ﬁt the body and are of different sizes and patterns; some of their edges are straight, others curvilinear, While Some are provided with hinges or pierced with small holes for lacing. The plates are so corroded that there is no possibility of separating them, but enough is visible to show that each was made up of several strips of metal, probably hammered together. It is not possible to determine for certain if they were riveted. Rectangular armour plates, either of iron or of lacquered leather, are ﬁgured on the skirts of soldiers in certain Gandhara reliefs (cf. Foucher, L’Art gre’co-bouda'hique du Gandhara, p. 405, ﬁgs. 202, 204), but the size and weight of these plates from Sirkap suggests that they served as armour for horses or even for camelsI or elephants, rather than for men. Horses and riders clad in mail or plate armour were from early times a feature of the Persian, Seleucid, Parthian and Sarmatian armies. A horseman with an armoured apron protecting his legs is ﬁgured on coins of the Saka satrap, Kharahostes (RM. Cat. of Greek and Scythic coins of Bactria and India, Pl. XXIII, 6). About the second century A.D. the idea was also copied by the Romans, to whom this class of heavy cavalry was known as the cataphracti (Koc'r0'(q>pom-1’01).I Cf. Xenophon, Anal). 1, 8, 6~7; Cyropaedia, VI, 4, 1; VII, 1,2; VIII, 8, 11; Tit. Liv. XXIV, 48; XXXVII, 40; Polyb. 31, 3, 9; Plut. I The Parthian camelry, which was also heavily armed, may have been copied from the Roman dromedarii. The idea of the cataphract also spread eastward to China as early, probably, as the ﬁrst century B.C. Cf. Laufer, Chinese Clay Figures (1914), p. 217. MT 70 550 IRON OBJECTS [(311.27 Lucullus, 28; Dar. et Sag. s.o. ‘Cataphractus’, ﬁgs. 1233—6; Excavations at Dura—Europos, 6th season (1932—3), pp. 440—52. For the bardings of elephants, which were also known as Korro'c— q>pou<ror, loricati, see Dar. et Sag. s1), ‘Elephas’, and Armandi, Histoire militaire des e’léphants. Also, I Maccabees vi. 43. Cf. p. 182 supra. (Pl. 170, t.) 91, a, b. Two groups of plate armour intended for the arms. They consist of twenty—four and eighteen pieces respectively, of varying sizes and shapes. The heavy weight of the metal suggests that the armour was designed for a horseman rather than a foot-soldier. Sk. ’26—3,63 I ; Block K; sq. 157-61’; stratum II. First century AD. Cf. p. I76 supra. (Pl. 170, p, q.)","170-t, 170-p-q",Sk,2,1928
92,,,," XXI. Armour, helmet and shield bosses (nos. 90—5)","92. Helmet with cheek—piece (ndpayvoreis) on one side, attached seemingly by pivot, enabling it to he raised or lowered. The other side of the helmet is missing. Length 9- 5 in.; Width 7 in.; height 6 in. The crown is of one piece, beaten out like an oval bowl and afterwards deepened by means of horizontal bands hammered on to it. It is large enough to admit of a thick padded cap underneath, even on a big head. On the summit is a boss intended for the attachment of a ring, spike or crest (Moos). Cf. Dar. et Sag. so. ‘Galea’, and ﬁg. 3428. Sk. stratum II. (Pl. 170, r.)",170-r,Sk,2,
93,,,K," XXI. Armour, helmet and shield bosses (nos. 90—5)","93. Boss of shield (umbo, ououhés) with single-looped cross-piece riveted on at the back for attaching the handle. Diam. 187 in. Sk. ’20—45; Block K’; stratum II. Cf. p. 180 supra; ‘Silverware’, ch. 29, no. 22 and P1. 187, and ‘Copper and Bronze’, ch. 28, nos. 388, 3,89 and P1. I77. (Pl. 165, no. 93.)",165-93,Sk,2,1920
94,64,77,D," XXI. Armour, helmet and shield bosses (nos. 90—5)","94. Similar, with three looped cross-pieces at back. Diam. 287 in. Sk. ’14—920; Block D’; sq. 64-77’; stratum II. Cf. p. 190 supra. (Pl. 165, no. 94.)",165-94,Sk,2,1914
95,48,74,C," XXI. Armour, helmet and shield bosses (nos. 90—5)","95. Similar to no. 94. Diam. 625 in. Sk. ’14—409; Block C’; sq. 48-74’; stratum III. Cf. p. I93 supra. . GROUP C. HORSE-BRIDLES AND ELEPHANT-GOADS Ancient horse—bits were generally of three kinds, Viz.: (a) the simple plain or jointed snaﬂIe-bit; (b) the protected snafﬂe, with a ring or cheek-bar at each side to prevent the rein slipping into the mouth; (c) the‘curb-bit, with a curb-chain or strap fastened to the upper ends of the cheek-bars and passing under the horse’s lower jaw, while the reins are attached to the lower ends of the cheek—bars. (Cf. Flinders Petrie, Tools and Weapons, pp. 55, 56, and Pls. LXX, LXXI; Eucy. Brit. so ‘ Saddlery ’ ; Dar. et Sag. so. ‘ Frenum ’.) The bits found at Taxila are of (a) and (1)) types only. They date from the ﬁrst century A.D. Arrian says that in the time of Alexander the Great the Indians did not curb their horses with bits like those in use among the Greeks and Kelts, but they ﬁtted round the horse’s mouth a circular piece of OX—hide studded with iron or brass pricks pointing inwards but not very sharp; and Within the horse’s mouth they put an iron prong like a skewer, to which the reins were attached, so that when the rider pulled the reins, the prong controlled the horse and the pricks inside the muzzle goaded its mouth, compelling it to obey the reins.I That the Greeks introduced the snafﬂe—bit into India is corroborated by the fact that the Sanskrit word for ‘bit’=khaliua, is borrowed from the Greek XCXNVéS. The spiked bit is still all too familiar in the North-West, ‘ Cf. Arrian, Ind. 16. Strabo (XV, 66) says: ‘Instead of bridles they use muzzles, which differ little from halters and the lips are perforated with spikes.’   i, i i E i 5 i CH. 27] IRON OBJECTS 551 but no examples of it have been found at Taxila. Cheek-bars of horn and bone have also been f0und at Taxila (ch. 32, nos. 115—17).",,Sk,3,1914
96,46,74,C, XXII. Bits and cheek—bars of horse-bridles (nos. 96~Ioo),"96. Snaﬁle-bit, jointed in middle, with cheek—rings made in one piece with each section of the bar. The bar is plain. Length 862 in. Sk. ’14—1, 593; Block C’; sq. 46-74’; stratum II. Cf. p. 193 supra. (Pls. 165, no. 96; 205, c.)",,Sk,2,1914
97,,,K, XXII. Bits and cheek—bars of horse-bridles (nos. 96~Ioo),"97. Similar; length 7-5 in. Sk. ’14-‘384; Block K; sq. 154—47’; stratum II. Cf. p. 176 supra. (P1. 165, no. 97.)",165-97,Sk,2,1914
98,143,69,E, XXII. Bits and cheek—bars of horse-bridles (nos. 96~Ioo),"98. Similar; length 787 in. Sk. ’26—21; Block]; sq. 143-69’; stratum II. Cf. p. 171 supra. (Pl. 165, no. 98.) 99; An S—shaped cheek—bar of horse-bridle with two holes for rein-strap. The cheek-bar was attached to the bit, in the manner illustrated in P1. 205, b, which shows a horn cheek-bar and bit from Central Asia. Length 5-5 in. Sk. ’14.; Trench A627. For S-shaped bars, cf. Flinders Petrie, op. cit. p. 56, §158 and P1. LXX, 19, 20, and Lefebure des Noéttes, L’Attelage, Le Cheval de Selle, ﬁgs. 24.7 and 248 (Scythian and Roman), and for earlier and more decorative specimens in bronze from Luristan, Illus. London News (6 Sept. 1930), p. 389, ﬁgs. 3—10. (P1. 170, o.) 100, a, b. Two cheek-bars similar to above, but slightly curved instead of being S-shaped. Length 6-75 in. and 725 in. respectively. Sk. ’I4—2,276; Block E; sq. 69-66’; stratum III. Cf. p. 161 (I6) supra. (Pls. 165, no. 100, a, b; 185, d.) Somewhat similar implements to those described below are designated ‘ﬁre- hooks’ by Flinders Petrie and said to have been used in Egypt for raking the charcoal in the braziers (cf. Flinders Petrie, Tools and Weapons, Pl. LXXI, 50, 51). There is no reason, however, to suppose that the following implements were other than the familiar aakus’a ﬁgured so often in early Indian sculptures. It is note- worthy that precisely the same type of elephant—goadr was used in North Africa. See, for example, the Carthaginian coin in the Cabinet de France, illustrated in Dar. et Sag. so. ‘Elephas’, ﬁg. 2621.","165-98, 170-o",Sk,2,1926
101,7,61,," XXIII. Elephant—goads (nos. 101, 102)","101. Elephant-goad (Skr. arikus’a) with sharp point at end and curved hook at side. Length 25-5 in. Bm. ’24—212; sq. 7-61’; stratum II. (Pl. 170, v.)",170-v,Sk,2,1924
102,51,90,C," XXIII. Elephant—goads (nos. 101, 102)","102. Similar. Length“ 5' 5 in. Sk. ’22—611; Block C’; sq. 51-90’; stratum III. First century B.c. to ﬁrst century A.D. Cf. p. 193 supra. (Pl. 170, u.) GROUP D. CARPENTER’S AND BLACKSMITH’S TOOLS, ETC. All the iron axes from Taxila belong to the socketed class. One only (no. 103) comes from the Bhir Mound and is referable to'the third to second century B.C.; the rest come from Sirkap and date from the ﬁrst century A.D. The commonest is a true iron type (a) with a Wide splay and thin blade, such as is frequently met with at Pompeii and on other Roman sites at this period. Cf. Flinders Petrie, Tools and Weapons, p. 11 and P1. IX, 26—36. In the Sirkap specimens the droop of the blade tends to become more marked, giving the axe a broader crescentic edge and enabling it to make a longer cut. In another type (b) the blade is prolonged in both directions, 70-2 Abundance and purity of Indian iron High quality of Indian steel in ancient and medieval times Analysis of specimens from Taxila and Besnagar  ",170-u,Sk,3,1922
534,,,, XXIV. Axes (nos. 103—1 1),"534. IRON OBJECTS [0H, 27 others the inﬂuence of the Sakas, Parthians and White Huns. Carpenter’s and blacksmith’s tools and agricultural implements (Groups D and E) were least likely, perhaps, to be affected by foreign innovations, but it is noteworthy that even among them scissors (no. I 3 5) and the spade (no. 198) made their ﬁrst appearance at Taxila in the ﬁrst century A.D., about the same time that they did in the Mediterranean area. Probably in no country of the world is iron found more abundantly than in India, and in» none are the ores from which it is extracted of greater purity or more easily accessible. Once, therefore, that the use of iron had been discovered and its advantages over copper and its alloys proved, Indians could have had little difﬁculty in obtaining adequate supplies of the metal. Indeed, the sources from which it might have been traded to T axila are so many, that there would be small purpose in naming them. From a very early period India was famous for the high quality of its iron and steel. Thus Ktesias, who was at the court of Persia in the ﬁfth century 13.0., mentions two remarkable swords of Indian steel presented to him by the king of Persia and his mother, and it has been plausibly sug- gested that the fermm candidum of which the Malloi presented a hundred talents’ weight to Alexander the Great, was the same metal. Again, the Periplus informs us that in the ﬁrst century A.D. Indian iron and steel were being ex— ported from Ariaca (Gulf of Cambay and thereabouts) to Abyssinia, and ferrnm Indicum also ﬁgures in the lists of dutiable articles under Marcus Aurelius and Commodus. Salmasius, too, speaks of a Greek treatise (now lost) on the tempering of Indian steel. Of the fame enjoyed by Indian steel in medieval and later times there is no less evidence. Writing in the twelfth century, Idrisi says: ‘ The Hindus excel in the [ manufacture of iron. They have also workshops wherein are forged the most famous sabres in the world. It is impossible to ﬁnd anything to surpass the edge that you get from Indian steel.’ In the following century Marco Polo speaks of iron and ondanique in the markets of Kerman, and the latter has been recognised by Yule as a corruption of the Persian hundwa'niy (=Indian steel), which was used for the far-famed sword blades of Kerman. Tavernier, again (1605—80), writes: ‘The steel susceptible of being damascened comes from the kingdom of Golconda; it is met with in commerce in lumps about the size of a halfpenny cake; they are cut in two in order to see whether they are of good quality, and each makes half the blade of a sabre.’ (Cf. McCrindle, Ancient India, its invasion by Alexander the Great, p. 252 and n. I; Schoff, The Periplus of the Erythrcean Sea, ch. 6, pp. 24, 70, I72; Neogi, Iron in Ancient India, pp. 66—8; Marco Polo (ed. Yule), bk. I, ch. XVII; Tavernier (ed. Ball), 1, 157.) The literary evidence as to the excellence of ancient Indian iron and steel has been fully corroborated by the analysis and micro—examination of selected speci- mens from TaXila and Besnagar. The latter, which appear to have been pieces of a broken sword used as wedges by the engineers when they were setting up the Khambaba pillar of Heliodorus (c. 100 3.0.), and in the opinion of the late Sir ‘ .Wmawmvwwkwamme.mmmmwmmmmmwmmm “Mnmpmmm;m-MvmwwrﬁwwuwwMeWM\mWWMRme‘w 552 IRON OBJECTS [011. 27 so as to give a still longer cutting edge, as in Flinders Petrie, op. cit. Pl. X, nos. 49— 53, 65, 68, 73. In a third type (c) the socket is projected up and down the back of the handle in order to meet the strain imposed on it, particularly in such operations as the cleaving of wood. Cf. Flinders Petrie, op. cit. Pl. XI, nos. 101, 106, 107, 114,115. Type a:",,Gr,,
103,90,79,, XXIV. Axes (nos. 103—1 1),"103. Socketed axe, with slightly drooping blade. Length 4-62 in. Bm. ’21—650; sq. 90-79’; stratum II. (Pl. 166, no. 103.)",166-103,Bm,2,1921
104,54,90,D, XXIV. Axes (nos. 103—1 1),"104.. Similar, with short irregular blade and unusually large socket for handle. Length 3-68 in. First century A.D.. Sk. ’20—240; Block D'; sq. 54-90’; stratum II. Cf. p. 190 supra. (Pl. 166, no. 104.) ,",166-104,Sk,2,1920
105,125,67,H, XXIV. Axes (nos. 103—1 1),"105. Similar, with longer and more drooping blade. Length 6-87 in. First century A.D. Sk. ’15—732; Block H; sq. 125-67’; stratum II. Cf. A.S.R. (1915), p. 18, no. 6; p. 170 supra. (Pl. 166, no. 105.)",166-105,Sk,2,1915
106,,,E, XXIV. Axes (nos. 103—1 1),"106. Similar. Droop of blade accentuated. Length 5-25 in. First century A.D. Sk. ’22—867; Block E’; sq. 73583’; stratum II. Cf. p. 185 supra. (Pl. 166, no. 106.)",166-106,Sk,2,1922
107,47,49,C, XXIV. Axes (nos. 103—1 1),"107. Similar, and of same date as preceding. Length 4-87 in. Sk. ’24—98; Block C; ‘ sq. 47-49’; stratum 11. (Pl. 166, no. 107.)",166-107,Sk,2,1924
108,14,6,, XXIV. Axes (nos. 103—1 1),"108. Similar and of same date. Length 5°62 in. Sk. ’26~1,093; Block]; sq. 14.6-59’; stratum II. Cf. p. 171 supra. (P1. 166, no. 108.) ' Type I):",166-108,Sk,2,1926
109,47,49,C, XXIV. Axes (nos. 103—1 1),"109. Socketed axe, with blade projected in both directions. Length 5-75 in. First century A.D. Sk. ’24—98; Block C; sq. 47-49’; stratum II. Analysis Table, p. 536, no. 6 supra. (P1. 166, no. 109.) Type c:",166-109,Sk,2,1924
110,33,86,B, XXIV. Axes (nos. 103—1 1),"110. Axe, with drooping blade and back of socket projected up and down handle. Length 6-93 in. First century A.D. Sk. ’20—252; Block B’; sq. 33-86’; stratum II. Cf. p. 194 supra. (Pl. 166, no. 110.) '",166-110,Sk,2,1920
111,151,58,J, XXIV. Axes (nos. 103—1 1),"111. Similar and of same date. Length 525 in. Sk. ’26—I,259; Block J; sq. 151-58’; stratum I. Cf. p. 171 supra. (Pl. 166, no. 111.) The earliest type (a) of carpenter’s adze from the Bhir Mound (third to second century B.C.) has a thin rounded top and thick sharply tapering blade. Apparently it was ﬁxed to the handle by means of an iron band and wedges, Vwith the top projecting at the back of the band, as in the example, said to have come from Abydos, which is ﬁgured in Flinders Petrie, op. cit. Pl. XVIII, ﬁg. I 32. In the later Sirkap examples of the ﬁrst century A.D. (type b) the blade is relatively broader below and thicker above, with the top squared oﬁ’ for insertion into a metal sheath, which covered it behind as well as above and at the sides, the sheath itself being nailed to the handle. In a still later example of the ﬁfth century A.D. from Jauliaﬁ (type c) the blade is bent, as in the modern Indian adze, to facilitate an even cutting stroke and is furnished witha socket—hole for the handle. CH. 27] IRON OBJECTS 553 Type a: ‘ II2. Carpenter’s adze of iron with thin rounded top and thick sharply tapering blade. Length 7-25 in. c. late folirth century B.C. Bm. ’20—1,412; sq. 28-27’; stratum III. (Pl. 166, no. 112.)","166-111, 166-112",Sk,1,1926
113,66,87,, XXV. Adzes (nos. 112—17),"113. Similar. Length 587 in. Bm. ’21—842; sq. 66-87’; stratum II. (Pl. 166, no. 113.) Type 6:",166-113,Bm,2,1921
114,134,54,I, XXV. Adzes (nos. 112—17),"114. Carpenter’s adze. Length 525 in. The blade is broader below than the preceding examples, but thicker above and squared oﬁc at the top for insertion in a metal sheath. The latter encases the blade at the back as well as above and at the sides, and was ﬁxed to the wooden handle by two nails driven through it from side to side. First century AD. Cf. A.S.R. (1915), P1. V11, 3. Sk. ’15—221; Block I; sq. 134-54’; stratum I. Cf. p. 171 supra. (Pl. 166, no. 114.)",166-114,Sk,1,1915
115,83,72,, XXV. Adzes (nos. 112—17),"115. Similar and of about same date. Length 6 in. A.S.R. (1914), P1. XXV, 46. Sk. ’14— 1,068; Main Street; sq. 83'72’; stratum III. (Pl. 166, no. 115.)",166-115,Sk,3,1914
116,,,, XXV. Adzes (nos. 112—17),"116. Similar, but without sheath for head. Length 575 in. Sk. ’20—76; east of palace; stratum II. Cf. p. 176; Analysis Table, p. 536, no. 5 supra. (P1. 166, no. 116.) Type 6:",166-116,Sk,2,1920
117,,,, XXV. Adzes (nos. 112—17),"117. Socketed adze-head with bent, wryneck blade, as in the modern Indian adze, to facilitate the trimming of the wood surface. Length 587 in. Fifth century AD. In. ’16— F48; mon. court. Cf. p. 385 supra; j‘n. Mem. Pl. XXVHI, g. (P1. 166, no. 117.) C L A s s XXVI. Chisels (nos. 1 1 8—2 1 , c) Iron Chisels are few in number. The earliest example from the Bhir Mound (third to second century B.C.) is a bare metal, square bar tool, with splayed single- slope cutting edge, intended no doubt for mortising work. Of the Chisels from . Sirkap (second century 3.0. and ﬁrst century A.D.), some (type b) are bare metal, round bar tools for stone-cutting; others (type e) are bare metal round bar car- penter’s Chisels, tapering gradually from the top downwards to a splayed crescentic edge. Type a:",166-117,,,1916
118,132,94,, XXV. Adzes (nos. 112—17),"1 18. Bare metal chisel for mortising, approximately square in section, with single slope and slightly splayed crescentic cutting edge. Length 5 in. Bm. ’21—636; sq. 132-94’; stratum II. (Pl. 166, no. 118.) Type I):",166-118,Bm,2,1921
119,12,92,1, XXV. Adzes (nos. 112—17),"119. Bare metal, round bar chisel, with double slope and straight cutting edge, for stone- cutting. Length 575 in. Sk. ’22—920; Block 1’; sq. 12-92’; stratum V. Second century B.C. (Pl. 166, no. 119.)",166-119,Sk,5,1922
120,21,74,A, XXV. Adzes (nos. 112—17),"120. Similar. Length 525 in. First century AD. Sk. ’16—1,124; Block A’; sq. 21-74’; stratum II. Cf. p. 195; Analysis Table, p. 536, no. 7 supra. (Pl. 166, no. 120.)",166-120,Sk,2,1916
121,96,73,C, XXV. Adzes (nos. 112—17),"121. Similar; head much hammered. Length 3-87 in. First century A.D. Sk. ’14; Trench A635; stratum II. (P1. 166, no. 121.) Type c: 121, a. Bare metal, round bar carpenter’s chisel tapering gradually from top, with broad crescentic cutting edge. Length 7 in. First century AD. Sk. ’17—140; Main Street; sq. 96-73’; ' 7 stratum IV. (Pl. 166, no. 121, a.) 554 IRON OBJECTS [(111.27 121, 1). Similar and of same date. Length 587 in. Sk. ’24—727; Block C; sq. 45-44'; stratum III. (Pl. 166, no. 121, b.) 121, c. Similar and of same date. Length 662 in. Sk. ’15—732; Block H; sq. 125-67’; stratum II. Cf. p. 170 supra. (Pl. 166, no. 121, c.) Iron knives from the Bhir Mound (nos. 122—3) are of the straight—backed, straight—edged type, with a tang for ﬁxing into the handle. Later specimens from Sirkap (nos. 124—6) have the same tang and straight back, but the edge is convex. N0. 127 (ﬁrst century A.D.) is a fragment of what appears to have been a chopper. N0. 128 of the ﬁfth century A.D.—a double-edged blade without tang—may have served as either a knife or a dagger.","166-121, 166-121-a, 166-121-b, 166-121-c",Sk,2,1914
122,7,59,, XXVII. Knives and ch0pper(?) (nos. 122—8),"122. Straight-backed, straight—edged knife, with tang for handle. Length 406 in. Bm. ’24— 218; sq. 7-59’; stratum II. (Pl. 166, no. 122.)",166-122,Bm,2,1924
123,27,27,, XXVII. Knives and ch0pper(?) (nos. 122—8),"123. Similar, but with slightly convex back. The hollow edge is the result of sharpening. Length 4-37 in. Bm. ’2'0—1,183; sq. 27-27’; stratum III. (Pl. 166, no. 123.)",166-123,Bm,3,
124,51,90,C, XXVII. Knives and ch0pper(?) (nos. 122—8),"124. Similar but with convex edge. Length 4-75 in. First century 3.0. to ﬁrst century A.D. Sk. ’22—611/2; Block C'; sq. 51-90’; stratum III. Cf. p. 193 supra. (P1. 166, no. 124.)",166-124,Sk,3,1922
125,179,47,K, XXVII. Knives and ch0pper(?) (nos. 122—8),"125. Similar and of same date. Damaged. Length 3-25 in. Sk. ’13—103; Block K; sq. 179-47’; stratum III. Cf. p. 170 supra. (Pl. 166, no. 125.)",166-125,Sk,3,1913
126,133,54,I, XXVII. Knives and ch0pper(?) (nos. 122—8),"126. Similar. First century A.D. Length 5 in. Sk. ’15—294; Block I; sq. 133-54’; stratum II. Cf. p. 171; Analysis Table, p. 536, no. 8 supra. (Pl. 166, no. 126.)",166-126,Sk,2,1915
127,,,, XXVII. Knives and ch0pper(?) (nos. 122—8),"127. Fragment of chopper(?) with sheath at corner for handle. Length 2-87 in. Sk. ’14; Trench A632; stratum II. (Pl. 166, no. 127.) ,",166-127,Sk,2,1914
128,,,, XXVII. Knives and ch0pper(?) (nos. 122—8),"128. Knife or dagger, two—edged, without tang, but with two nails at base of blade for ﬁxing handle. Length 4-62 in. Fifth century A.D. Mm. ’15—194; cell 9; 7 ft. below surface. Cf. p. 363 (21) supra. (P1. 166, no. 128.)",166-128,Kn,,1915
129,77,50,E, XXVIII. Saw (no. 129),"129. Fragment of straight—edged, straight-backed saw. Length 425 in. First century A.D. The metal is too corroded to determine whether there was any rake in the teeth. Sk. ’15—461 ; Block E; sq. 77-50’; stratum II. Cf. p. 161, n. 1 supra; A.S.R. (1915), P1. VII, 9. (Pl. 167, no. 129.) Fire-tongs of all sizes, similar in form to nos. 130 and 131 below, were common in the Mediterranean area from the Roman period onwards (cf. Flinders Petrie, op. cit. p. 41). Whether this type of tongs was evolved independently in India is not known. The small pliers (no. 132) are of a pattern which is common enough to—day, but rare, if not unique, among ancient tools of this class. On the other hand, the pattern of the tweezers (nos. I 33, 134) could be paralleled by countless examples from the Graeco-Roman world.",167-129,Sk,2,1915
130,,,," XXIX. Tongs, pliers and tweezers (nos. 130—4)","130. Pair of tongs. Length 487 in. Possibly used by a goldsmith or silversmith; they are too small for use as ordinary ﬁre-tongs. Bm. ’15—298; stratum II. (Pl. 167, no. 130.)",167-130,Bm,2,1915
131,,,," XXIX. Tongs, pliers and tweezers (nos. 130—4)","131. Similar, but larger. Length 10-25 in. First century A.D. Sk. ""14; Trench A638; stratum II. (Pl. 167, no. 131.) ‘ (311.27] IRON OBJECTS V 555",167-131,Sk,2,
132,189,70,L," XXIX. Tongs, pliers and tweezers (nos. 130—4)","132. Pair of pliers, of modern-looking pattern, with bow handles. Length 375 in. First century A.D. Sk. ’26~4,429/11; Block L; sq. 189-70’; stratum II. Cf. p. 178 supra. (Pls. 167, no. 132; 205, d.)",,Sk,2,1926
133,,,K," XXIX. Tongs, pliers and tweezers (nos. 130—4)","133. Half of tweezers incurved and broad at the point; probably used for depilation. Length 3-5 in. First century A.D. Sk. ’14—389; Block K; sq. 159°57’; stratum II. Cf. p. 176 supra. (Pl. 167, no. 133.)",167-133,Sk,2,1914
134,,,," XXIX. Tongs, pliers and tweezers (nos. 130—4)","134. Pair of bow—legged tweezers with ﬁne points, probably used for extraction of thorns or for handling small objects. Length 6-12 in. Probably ﬁfth century A.D. Gr. ’27—215D; room 10; 6 ft. 2 in. below surface. (Pl. 167, no. 134.) I3 5 . Handle and part of one blade of pair of scissors. Length 331 in. First century A.D. Sk. ’13—124; stratum I. Scissors of this type, worked by two separate ﬁngers, are not known to occur in the Graeco-Roman world before the ﬁrst century A.D. (Flinders Petrie, op. cit. p. 48, para. 13 5). There is no evidence of their having been independently evolved in India. (Pl. 167, no. 135.) For other hammers, cf. ‘Copper and Bronze’, ch. 28, nos. 373 and 374, a—f. All the tools in this class date from the ﬁrst century A.D. The square, ﬂat—faced hammers (nos. 136-8) were probably used by blacksmiths; the larger round-faced hammer (no. 139) and the single and double picks by stonemasons; and the small adze—hammer (no. 140) for carpentry.","167-134, 167-135",Gr,1,1927
136,,,," XXXI. Hammers, adze—hammer and picks (nos. 136—42)","136. Socketed hammer, square in section and ﬂat-headed. Length 3-62 in. First century A.D. Sk. ’14—2,o49; spoil earth. (Pl. 167, no. 136.)",167-136,Sk,,1914
137,,,," XXXI. Hammers, adze—hammer and picks (nos. 136—42)","137. Similar, with socket-hole to one side. Length 4-37 in. First century A.D. Sk. ’20—74; east of palace; stratum II. Cf. p. 176 supra. (Pl. 167, no. 137.)",167-137,Sk,2,1920
138,189,70,L," XXXI. Hammers, adze—hammer and picks (nos. 136—42)","138. Similar to no. 136, but shorter and thicker. Length 437 in. First century A.D. Sk. ’26~4,429/4; Block L; sq. 189'70’; stratum II. Cf. p. 178 supra. (Pl. 167, no. 138.)",167-138,Sk,2,1926
139,,,," XXXI. Hammers, adze—hammer and picks (nos. 136—42)","139. Heavy hammer, approximately square in section with rounded face. Length 6-5 in. First century A.D. Sk. 320—74; east of palace; stratum II. Cf. p. 176 supra. (Pl. 167, no. 139.)",167-139,Sk,2,
140,189,70,L," XXXI. Hammers, adze—hammer and picks (nos. 136—42)","140. Small adze-hammer. Length sin. First century A.D. Sk. ’26——4,429/ 5; Block L; sq. 189-70’; stratum II. Cf. Flinders Petrie, op. cit. Pl. XIV, 73. Cf. p. 178 supra. (Pl. 167, no. 140.) _ 141, a—c. Three single-head socketed picks such as might have been used for stone dressing. Length 5—6-12 in. First century A.D. From'same ﬁndspot as preceding. Cf. p. 178 supra. (P1. 167, no. 141.)","167-140, 167-141",Sk,2,1926
142,47,49,C," XXXI. Hammers, adze—hammer and picks (nos. 136—42)","142. Double-headed socketed pick for stone-dressing. Length 5-12 in. First century A.D. Sk. ’24—94; Block C; sq. 47-49’; stratum II. Cf. Flinders Petrie, op. cit. P1. XIV, 71, 72 (from Pompeii). (Pl. 167, no. 142.) These implements are of small size and used for light metal-work only. The earliest kind, of the third to second century B.C., are square with four sharply pointed legs for ﬁxing into a wooden block. In later ones of the same type (nos. 14.5,",167-142,Sk,2,1924
14,,,, XXXII. Anvils 0r beak-irons (nos. 143—9),"14.6) belonging to the ﬁrst century A.D. the legs are wider and not so sharp. For Graeco—Roman examples of this type of anvil, cf. Dar. et Sag. $.72. ‘Caelatura’, , Nails     556 IRON OBJECTS [CI-I. 27 ﬁg. 954 and fn. 156; 3.7). ‘Incus’, ﬁg. 4036. A second type of later beak-iron, also of the ﬁrst century A.D., consists of a solid square bar, tapering somewhat down- wards but ﬂat at the bottom and without any spike for driving into the wood block. Stool type a:",,Gr,,
143,7,55,, XXXII. Anvils 0r beak-irons (nos. 143—9),"143. Small anvil or beak-iron, of stool type, for light metal-work. Square in plan with a pointed leg at each corner for ﬁxing into wooden block. 2-87 x 2-87 in. Bm. ’19-I,773 ; sq. 7- 5 5'; stratum II. (Pl. 167, no. 143.)",167-143,Bm,2,1919
144,32,62,1, XXXII. Anvils 0r beak-irons (nos. 143—9),"144. Similar, and of same size and age. Bm. ’24—499; sq. 32-62’; stratum II. I45. Similar, but legs shorter and broader. Size 3 x 3 in. First century A.D. Sk. ’19—1 31; Block 1’; sq. II-IIo’; stratum II. Cf. p. 196 supra. (Pl. 167, no. 145.)",167-145,Bm,2,1924
146,96,46,G, XXXII. Anvils 0r beak-irons (nos. 143—9),"146. Similar to no. 145 and of same age. Size 2-75 ><2~25 in. Sk. ’26—2,327; Block G; sq. 96-46’; stratum II. Cf. p. I69 supra. (Pl. 167, no. 146.) I Solid bar type b:",167-146,Sk,2,1926
147,61,118,D, XXXII. Anvils 0r beak-irons (nos. 143—9),"147. Anvil of solid bartype, square in section with splayed top. Height 6-5 in. First century A.D. Sk. ’27—I,549; Block D’; sq. 61-118’; stratum III. Cf. p. 190 supra. (P13. 167, no. 147; 205, d.)",,Sk,3,1927
148,189,70,L, XXXII. Anvils 0r beak-irons (nos. 143—9),"148. Similar to preceding and of same age. Height 6-37 in. Sk. ’26—4,429/86; Block L; sq. 189-70’; stratum II. '",,Sk,2,1926
